group,dp_mode,dp_epsilon,step1_mode,r,rho_source,rho_assumed,rho_true,rho_bound_valid,rho_failure_probability,noisy_beta,noisy_step1_rows,last_step1_error,t0_path,t0_5_path,t1_path,n_honest,n_corrupt,found_num_vectors,true_vectors_matched,true_vectors_all_found,reconstruction_count,gradient_mse,gradient_cosine_similarity,step1_time,step2_time,resample_count,status
model_avg_ni500_N10_z0_e10_aggregate_ep10000000000p0,aggregate,10000000000.0,noisy,4,gaussian_union_bound,614,264,True,1e-05,1535,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep10000000000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep10000000000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep10000000000p0.pkl,4,6,1152,4,True,30,7.277409756732004e-14,0.9999999594306657,0.149737,0.184092,0,ok
model_avg_ni500_N10_z0_e10_aggregate_ep100000000p0,aggregate,100000000.0,noisy,4,gaussian_union_bound,58875,28065,True,1e-05,147188,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep100000000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep100000000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep100000000p0.pkl,4,6,1888,1,False,0,,,0.001462,0.504626,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep1000000p0,aggregate,1000000.0,noisy,4,gaussian_union_bound,5884931,3900596,True,1e-05,14712328,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep1000000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep1000000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep1000000p0.pkl,4,6,4096,2,False,0,,,0.001202,3.209067,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep100000p0,aggregate,100000.0,noisy,4,gaussian_union_bound,58849077,25866890,True,1e-05,147122693,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep100000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep100000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep100000p0.pkl,4,6,4096,2,False,0,,,0.001463,3.215258,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep20000p0,aggregate,20000.0,noisy,4,gaussian_union_bound,294245282,138608741,True,1e-05,735613205,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep20000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep20000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep20000p0.pkl,4,6,4096,2,False,0,,,0.005193,3.401895,0,partial_found
model_avg_ni500_N10_z0_e10_aggregate_ep50000p0,aggregate,50000.0,noisy,4,gaussian_union_bound,117698128,49775678,True,1e-05,294245320,2,,models_dp/model_avg_ni500_N10_t0_z0_e10_aggregate_ep50000p0.pkl,models_dp/model_avg_ni500_N10_t0_5_z0_e10_aggregate_ep50000p0.pkl,models_dp/model_avg_ni500_N10_t1_z0_e10_aggregate_ep50000p0.pkl,4,6,4096,2,False,0,,,0.002,3.03441,0,partial_found
