round,dp_mode,dp_epsilon,train_loss_mean,test_loss_mean,test_acc_mean,test_acc_std
0,aggregate,200.0,2.302380699828583,2.307033854886387,0.09134999999999999,0.008912603435584912
1,aggregate,200.0,2.298839220870531,2.3087865057138863,0.10216,0.008564134515524614
2,aggregate,200.0,2.2964878848756225,2.311093768378707,0.09842,0.012036760361492621
3,aggregate,200.0,2.29840712033026,2.3091078188097427,0.09494999999999999,0.010795577798339466
4,aggregate,200.0,2.2933825211562024,2.3085499460615315,0.10001,0.006695588099636953
5,aggregate,200.0,2.2886431011055066,2.3114306197349412,0.10200000000000001,0.010013191299480898
6,aggregate,200.0,2.2897036041038237,2.3140201427533738,0.10316,0.011456631267523628
7,aggregate,200.0,2.28819191223545,2.311222783312018,0.10286,0.010715894736325102
8,aggregate,200.0,2.2801498698507223,2.31247846202319,0.10685,0.005699166605741578
9,aggregate,200.0,2.2799684619242875,2.3113134439071237,0.11115,0.009442377878479553
10,aggregate,200.0,2.2748434322115303,2.309142330060902,0.10733000000000001,0.01092190917376628
11,aggregate,200.0,2.2713459275520735,2.30673548023333,0.11028,0.017490042881594087
12,aggregate,200.0,2.2590500871548067,2.307590216564876,0.11173,0.011241623548224696
13,aggregate,200.0,2.2586075115592776,2.305763669468486,0.12256,0.008378329189044796
14,aggregate,200.0,2.2503727851810438,2.3078996175586997,0.11716999999999997,0.010254564837183483
15,aggregate,200.0,2.2457723699535292,2.3003771742492978,0.11724000000000001,0.013409041725641696
16,aggregate,200.0,2.2384990995924534,2.2987162079788885,0.11971000000000001,0.014053501343081731
17,aggregate,200.0,2.2299543020863695,2.3031323167980053,0.12505,0.011339951499014449
18,aggregate,200.0,2.2219320299644996,2.301894318331919,0.13085,0.018347493016758445
19,aggregate,200.0,2.2131173713716,2.2953201501709954,0.13061999999999999,0.014994052154104308
20,aggregate,200.0,2.1965349173294277,2.2891724174339627,0.13026,0.018704502131839804
21,aggregate,200.0,2.1926103949276965,2.295554206814509,0.14142999999999997,0.017821506670312695
22,aggregate,200.0,2.174335277212029,2.275645627022806,0.14919,0.016047520057628845
23,aggregate,200.0,2.165616602577085,2.2732949341062167,0.15814999999999999,0.022050272107164575
24,aggregate,200.0,2.1445887229387273,2.273917578453741,0.15809,0.017542887447623893
25,aggregate,200.0,2.1289697510884418,2.2558410506288706,0.16677,0.02164837407289517
26,aggregate,200.0,2.1082926073755552,2.262138410458382,0.16785999999999998,0.023470585846970243
27,aggregate,200.0,2.1005199177573557,2.2302362244643206,0.18518,0.010719682831128912
28,aggregate,200.0,2.077582324562603,2.248316121174404,0.16601,0.019745655218300552
29,aggregate,200.0,2.058663222496089,2.2233162626024074,0.18152000000000001,0.011226112417039127
30,aggregate,200.0,2.0349172191481006,2.2273376786856596,0.18745,0.020840357482538537
31,aggregate,200.0,2.0110869220055294,2.2133601148656696,0.19051,0.020778183269958908
32,aggregate,200.0,1.9998929037761666,2.264117081890802,0.18934,0.022734520008128607
33,aggregate,200.0,1.9801806159054227,2.210404760441283,0.20764,0.016467070170494813
34,aggregate,200.0,1.9630330102519191,2.221838332501012,0.20619,0.02518668100405451
35,aggregate,200.0,1.9519775189780912,2.2154867248094576,0.20824000000000004,0.014439473674618479
36,aggregate,200.0,1.9435018873957144,2.2038356061609528,0.21652,0.026028323034725076
37,aggregate,200.0,1.928072633190877,2.224118936966569,0.20924,0.024464594825992926
38,aggregate,200.0,1.9010332228889326,2.190815381295403,0.20987999999999998,0.01976834843885548
39,aggregate,200.0,1.8970180702306514,2.206935484090962,0.22068,0.022304026542308453
40,aggregate,200.0,1.8794174968043003,2.2259230480104852,0.21623,0.018203518890588157
41,aggregate,200.0,1.877936254533712,2.2866313110085925,0.20451000000000003,0.01764848152108277
42,aggregate,200.0,1.8609927578680054,2.2700264944936555,0.22013,0.028400177816344744
43,aggregate,200.0,1.852918334014732,2.272369476108173,0.21628999999999995,0.02968290585505402
44,aggregate,200.0,1.8457472130094519,2.230495208812012,0.21495999999999998,0.027454733653779997
45,aggregate,200.0,1.8399551369085834,2.2024461753058655,0.22119,0.023255255320034654
46,aggregate,200.0,1.8211407497597218,2.1967785791494427,0.23283,0.024724443370883
47,aggregate,200.0,1.816968996027945,2.226367007027821,0.23211999999999997,0.020217655650445726
48,aggregate,200.0,1.8121932902443227,2.2150626306928425,0.22893,0.026597934130304174
49,aggregate,200.0,1.8095161846777927,2.2406840594716484,0.21539999999999998,0.019857995870681416
50,aggregate,200.0,1.7997727541007928,2.293128410339712,0.21254,0.01850736069784128
51,aggregate,200.0,1.7907346925296028,2.1985136658270696,0.23417000000000004,0.024653804980164833
52,aggregate,200.0,1.778627945444431,2.1690084292058436,0.24402,0.019696943925391067
53,aggregate,200.0,1.7554554115793184,2.1810986634864955,0.24333999999999997,0.02468960104983472
54,aggregate,200.0,1.7452161182731019,2.2527199900387833,0.23568000000000003,0.02783464747396669
55,aggregate,200.0,1.7398505807820293,2.312352957627424,0.23218,0.03328497558959597
56,aggregate,200.0,1.7232882894460286,2.253323106200958,0.2379,0.022550875814477803
57,aggregate,200.0,1.7265557419727293,2.188554187644699,0.24821000000000004,0.030562835274234618
58,aggregate,200.0,1.715272996792876,2.2562306162115378,0.23302000000000006,0.022742198662398502
