sg_idx,case,sample_rank,recon_index,mat,node,row_type,matched_mse_mean,matched_mse_node,feat_bin_mse,case_recover_mse_mean,case_recover_mse_var,case_feat_bin_mse_mean,case_feat_bin_mse_var
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],6,node,3.840408444421511e-08,1.0034871528998915e-34,0.0,,,,
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],9,node,3.840408444421511e-08,5.94219286366781e-34,0.0,,,,
0,case1_exact_pattern,4,4,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 3.0 7.0 0.0 0.0 3.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 4.0 0.0 0.0 3.0 4.0]],mean,sample_mean,3.840408444421511e-08,3.840408444421511e-08,0.09125,,,,
0,case1_exact_pattern,5,5,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 1.0 7.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],2,node,1.0205531772253397e-06,5.483870426050063e-08,0.3433333333333333,,,,
0,case1_exact_pattern,5,5,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 1.0 7.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],3,node,1.0205531772253397e-06,6.031649473522479e-07,0.0,,,,
0,case1_exact_pattern,5,5,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 1.0 7.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],6,node,1.0205531772253397e-06,2.2583926361889803e-35,0.0,,,,
0,case1_exact_pattern,5,5,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 1.0 7.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],9,node,1.0205531772253397e-06,3.4242090572886107e-06,0.3883333333333333,,,,
0,case1_exact_pattern,5,5,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 1.0 7.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],mean,sample_mean,1.0205531772253397e-06,1.0205531772253397e-06,0.18291666666666667,,,,
0,case1_exact_pattern,6,6,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 2.0 7.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],2,node,1.5851511645272012e-07,5.483870426050059e-08,0.3433333333333333,,,,
0,case1_exact_pattern,6,6,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 2.0 7.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],3,node,1.5851511645272012e-07,6.701832748358304e-08,0.0,,,,
0,case1_exact_pattern,6,6,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 2.0 7.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],6,node,1.5851511645272012e-07,2.3440586050583855e-35,0.0,,,,
0,case1_exact_pattern,6,6,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 2.0 7.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],9,node,1.5851511645272012e-07,5.122034340667968e-07,0.3883333333333333,,,,
0,case1_exact_pattern,6,6,[[0.0 0.0 3.0 0.0 0.0 0.0]; [0.0 2.0 7.0 0.0 0.0 2.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 5.0 0.0 0.0 3.0 5.0]],mean,sample_mean,1.5851511645272012e-07,1.5851511645272012e-07,0.18291666666666667,,,,
0,case1_exact_pattern,7,7,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 1.0 6.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],2,node,4.871436309741392e-07,5.483870426050061e-08,0.3433333333333333,,,,
0,case1_exact_pattern,7,7,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 1.0 6.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],3,node,4.871436309741392e-07,6.031649473522477e-07,0.0,,,,
0,case1_exact_pattern,7,7,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 1.0 6.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],6,node,4.871436309741392e-07,1.7105184992414125e-34,0.0,,,,
0,case1_exact_pattern,7,7,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 1.0 6.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],9,node,4.871436309741392e-07,1.2905708722838087e-06,0.3883333333333333,,,,
0,case1_exact_pattern,7,7,[[0.0 0.0 4.0 0.0 0.0 0.0]; [0.0 1.0 6.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],mean,sample_mean,4.871436309741392e-07,4.871436309741392e-07,0.18291666666666667,,,,
0,case1_exact_pattern,8,8,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 1.0 3.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],2,node,1.757206808307212e-07,9.971777597063635e-08,0.3433333333333333,,,,
0,case1_exact_pattern,8,8,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 1.0 3.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],3,node,1.757206808307212e-07,6.031649473522485e-07,0.0,,,,
0,case1_exact_pattern,8,8,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 1.0 3.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],6,node,1.757206808307212e-07,2.299426558315783e-35,0.0,,,,
0,case1_exact_pattern,8,8,[[0.0 0.0 7.0 0.0 0.0 0.0]; [0.0 1.0 3.0 0.0 0.0 1.0]; [4.0 0.0 0.0 6.0 0.0 0.0]; [3.0 6.0 0.0 0.0 3.0 6.0]],9,node,1.757206808307212e-07,1.369402859340041e-34,0.0,,,,
