round,dp_mode,dp_epsilon,train_loss_mean,test_loss_mean,test_acc_mean,test_acc_std
0,aggregate,10000.0,2.302380699828583,2.3029229353730747,0.1026,0.0006985699678629183
1,aggregate,10000.0,2.3017705205115337,2.302468605445199,0.10346,0.001585685971433182
2,aggregate,10000.0,2.3011608918061435,2.3020500054253032,0.10414999999999999,0.0023703375287076715
3,aggregate,10000.0,2.300637444678557,2.3016032885206976,0.10474000000000001,0.003176853789521955
4,aggregate,10000.0,2.300118209680024,2.3011711900205367,0.10573000000000002,0.004727800757223172
5,aggregate,10000.0,2.299612144121998,2.300743856717556,0.10669,0.005519864128762591
6,aggregate,10000.0,2.2990977661770695,2.3003033062634786,0.10733000000000001,0.00603208919032204
7,aggregate,10000.0,2.298590902453438,2.2998426338256444,0.10818999999999998,0.0057482953995075785
8,aggregate,10000.0,2.2980891159919272,2.2994092419231653,0.11017000000000002,0.008410118905223637
9,aggregate,10000.0,2.297579807469135,2.298936161922316,0.11338999999999999,0.011760140305285475
10,aggregate,10000.0,2.2970676441107,2.298468537529409,0.11778,0.014720176629375071
11,aggregate,10000.0,2.296531618757109,2.2979793069866585,0.12297,0.019081040328032428
12,aggregate,10000.0,2.295982699224182,2.297499702450304,0.12679999999999997,0.02007436175822285
13,aggregate,10000.0,2.295437318765153,2.296996637134748,0.13187,0.020910191295155575
14,aggregate,10000.0,2.2948438837120966,2.2964891854157594,0.13870000000000002,0.01988084505246193
15,aggregate,10000.0,2.2942734394300053,2.295946924630052,0.1447,0.021276747871796578
16,aggregate,10000.0,2.2936713862620324,2.295385241759773,0.1524,0.020232202055139727
17,aggregate,10000.0,2.293041215357774,2.29482576356228,0.15796000000000002,0.01710188293726746
18,aggregate,10000.0,2.2923710202775465,2.294224141165319,0.16494,0.015445465353947743
19,aggregate,10000.0,2.291688779507557,2.293597587215019,0.16982999999999998,0.013912300313032347
20,aggregate,10000.0,2.290947618668153,2.2929548261053663,0.17345,0.013125795214005132
21,aggregate,10000.0,2.290188647672525,2.2922610252948337,0.17749,0.011143648415128679
22,aggregate,10000.0,2.2894062258587597,2.2915368513450756,0.18447,0.011367062065459132
23,aggregate,10000.0,2.288563390486998,2.29076136246739,0.19076999999999997,0.011159484755130948
24,aggregate,10000.0,2.2876588688968185,2.2899243061026335,0.19354,0.012364157876701505
25,aggregate,10000.0,2.286668030089933,2.289055568426601,0.19795000000000001,0.011625080644881563
26,aggregate,10000.0,2.28562227698239,2.2881202043079156,0.20205,0.011422193309518094
27,aggregate,10000.0,2.2845473802950957,2.2871359201069827,0.20532,0.011998983290262557
28,aggregate,10000.0,2.2833906686819154,2.286091945417719,0.20784000000000002,0.011916895568897124
29,aggregate,10000.0,2.282121679940419,2.2849262657458214,0.21014999999999998,0.013792769845103631
30,aggregate,10000.0,2.2807716494625385,2.283690743112106,0.21042,0.01313276817734936
31,aggregate,10000.0,2.2792981592254815,2.282338259898265,0.21103999999999998,0.012874331050582779
32,aggregate,10000.0,2.2776564776373966,2.280897528726574,0.21155,0.011369630600859463
33,aggregate,10000.0,2.2759514328482435,2.279313177714717,0.21125000000000002,0.012673851032736655
34,aggregate,10000.0,2.2740145215617407,2.277591475562791,0.21269999999999997,0.010183908876261609
35,aggregate,10000.0,2.2719683611614245,2.275712110160228,0.21269,0.01011785056224888
36,aggregate,10000.0,2.2697303773443807,2.2736872310342675,0.21283000000000002,0.009994803649897275
37,aggregate,10000.0,2.267301757639662,2.271474011782174,0.21315,0.008759366415443528
38,aggregate,10000.0,2.264599716758627,2.269039861591439,0.21376,0.007797974095879007
39,aggregate,10000.0,2.2617005952111064,2.2664078026586676,0.21373999999999996,0.007613172794571261
40,aggregate,10000.0,2.2584822223182877,2.263467483178574,0.21402000000000002,0.007009964336571196
41,aggregate,10000.0,2.2549972558525355,2.2602792473692417,0.21475999999999998,0.006740801139330544
42,aggregate,10000.0,2.2510394490751233,2.2567394809595274,0.21515999999999996,0.005360634290827904
43,aggregate,10000.0,2.24680860005095,2.2528678384960954,0.21559,0.004566497563779049
44,aggregate,10000.0,2.2420979295954586,2.2486242180937306,0.21587000000000006,0.004367619488920714
45,aggregate,10000.0,2.2369331974175695,2.2439749556065602,0.21603,0.00440682425335978
46,aggregate,10000.0,2.2312779753543466,2.2388891417082775,0.21606999999999998,0.004112675528168984
47,aggregate,10000.0,2.2250934895446672,2.2333833261238523,0.21678999999999998,0.004129273543857326
48,aggregate,10000.0,2.2184556560731155,2.227419738439591,0.21747,0.003795009881410064
49,aggregate,10000.0,2.2112621704609743,2.220998592749749,0.21871000000000002,0.004103766562561763
50,aggregate,10000.0,2.203478707535317,2.2140584960916287,0.2205,0.005100000000000004
51,aggregate,10000.0,2.195070548263347,2.2066406920683908,0.22143000000000002,0.004733719467818087
52,aggregate,10000.0,2.1861405275434747,2.1987103549177673,0.22290000000000001,0.0050616202939375065
53,aggregate,10000.0,2.1766313706698965,2.190297020639534,0.22391,0.004775028795724694
54,aggregate,10000.0,2.166739019854186,2.1816661081723536,0.22576000000000002,0.004678931501956406
55,aggregate,10000.0,2.1566948696531285,2.1727478889386185,0.22759999999999997,0.004540704791108978
56,aggregate,10000.0,2.146341452316798,2.163666016695004,0.22994999999999996,0.004878780585351225
