round,dp_mode,dp_epsilon,train_loss_mean,test_loss_mean,test_acc_mean,test_acc_std
0,exchange,1000.0,2.302380699828583,2.3030067868307675,0.10252000000000001,0.001779775266712066
1,exchange,1000.0,2.3018872790713396,2.3024171183554207,0.10253000000000001,0.0019975234666956975
2,exchange,1000.0,2.3010955207154575,2.3021788296087937,0.1011,0.0011296016997154354
3,exchange,1000.0,2.300784219906364,2.301618526490932,0.10164,0.001027813212602368
4,exchange,1000.0,2.3002475287786623,2.301184442881437,0.1036,0.0048820077836890016
5,exchange,1000.0,2.2996263570638966,2.300907956870659,0.10647999999999999,0.010191349272790135
6,exchange,1000.0,2.299289056439773,2.300459986565362,0.10337,0.004698733872012759
7,exchange,1000.0,2.2986340670382353,2.2998900734872922,0.10171999999999999,0.0009775479527879946
8,exchange,1000.0,2.297932533693218,2.2995533996563577,0.10303999999999999,0.0022307846153315648
9,exchange,1000.0,2.2974277527087095,2.298862496519248,0.1083,0.011038659338887128
10,exchange,1000.0,2.2966787981685144,2.2982358312240163,0.11473,0.01588074620413034
11,exchange,1000.0,2.296000908077911,2.297603884596067,0.12652000000000002,0.023539660150477957
12,exchange,1000.0,2.2951977263554797,2.2971624190675812,0.12026,0.016512673920355846
13,exchange,1000.0,2.294697488566567,2.2965828298068365,0.12615,0.01727456222310713
14,exchange,1000.0,2.293928257876046,2.2961191749860252,0.14082,0.017826205429086698
15,exchange,1000.0,2.293478924400398,2.2954424974820187,0.15083000000000002,0.02187770783240328
16,exchange,1000.0,2.2927877487044745,2.294829925102473,0.17006000000000002,0.014736770338171116
17,exchange,1000.0,2.2919900975825067,2.2943720808265047,0.16924,0.017091588574500622
18,exchange,1000.0,2.2913988345085015,2.2938073665021723,0.18785000000000002,0.020818225188521715
19,exchange,1000.0,2.2907837347298243,2.2930229144133802,0.18325,0.01903182860368388
20,exchange,1000.0,2.289832819622327,2.292380521507952,0.17383999999999997,0.014709330372250124
21,exchange,1000.0,2.2891529718176282,2.2915806328734445,0.17983000000000002,0.020846680790955665
22,exchange,1000.0,2.288171445338965,2.2907929094148356,0.19001,0.016762126953343365
23,exchange,1000.0,2.287216165840107,2.2898083209259315,0.19908,0.009757745641284158
24,exchange,1000.0,2.286081128161801,2.2887332820930895,0.18757,0.008171786830308291
25,exchange,1000.0,2.2847223243327224,2.2877338116977923,0.18309000000000003,0.010466083317077117
26,exchange,1000.0,2.2835883190853843,2.2866565628930036,0.18632,0.00920345587266001
27,exchange,1000.0,2.282298580968383,2.2853622068076938,0.19146999999999997,0.008689424606957588
28,exchange,1000.0,2.280734137867037,2.2842379472800873,0.19253,0.006505851212562426
29,exchange,1000.0,2.279220706946308,2.2825060537263204,0.19971999999999998,0.00928609713496472
30,exchange,1000.0,2.2773583503148123,2.281008722431317,0.19934999999999997,0.012459554566676934
31,exchange,1000.0,2.275470798382636,2.2790309575780614,0.19009,0.01668367165824118
32,exchange,1000.0,2.2728734503635244,2.2771499563229107,0.19388,0.014770429919267756
33,exchange,1000.0,2.2705999901773746,2.2745300549042704,0.19584,0.015653127483030348
34,exchange,1000.0,2.2673390739889667,2.2719687461343328,0.19491,0.011544301624611165
35,exchange,1000.0,2.2641963196380788,2.26928157495986,0.19852,0.006398406051510021
36,exchange,1000.0,2.260869366422489,2.266393761445983,0.20122,0.009868819584935174
37,exchange,1000.0,2.2573525252256075,2.2629125548915368,0.2048,0.007000142855685158
38,exchange,1000.0,2.2529972128720024,2.2590951341741414,0.20706000000000002,0.006017175417087318
39,exchange,1000.0,2.248499780581418,2.255248531914989,0.20786000000000002,0.007236463224531717
40,exchange,1000.0,2.243543401581307,2.2502102556235757,0.209,0.01061131471590585
41,exchange,1000.0,2.2374617734789544,2.2450000070712823,0.21241,0.012430563140903952
42,exchange,1000.0,2.2307351180922663,2.239796539815574,0.21473,0.006017981389137061
43,exchange,1000.0,2.2243907287388884,2.233513375767944,0.21644000000000002,0.006056929915394426
44,exchange,1000.0,2.2166939182440015,2.22661105227917,0.21713999999999997,0.0068050275532138774
45,exchange,1000.0,2.2081961119333036,2.218916483148751,0.21842,0.0068347348156311055
46,exchange,1000.0,2.1988898394502554,2.2109261893108427,0.22080000000000002,0.006792937508913214
47,exchange,1000.0,2.1891370504347885,2.2023647694771986,0.22485,0.00438639943461605
48,exchange,1000.0,2.1790167975098282,2.193517057629539,0.22694,0.0036723834222477346
49,exchange,1000.0,2.1690875962190495,2.18462931513459,0.23121,0.0034425136165308072
50,exchange,1000.0,2.15825507868679,2.175619493691623,0.23495999999999997,0.0033720023724784095
51,exchange,1000.0,2.147500669983279,2.165631635638787,0.23683000000000004,0.003593341063689893
52,exchange,1000.0,2.135864872294724,2.155835555600405,0.23857999999999996,0.004854235264179109
53,exchange,1000.0,2.124371254072044,2.1450212474309587,0.23797000000000001,0.005204815078367339
54,exchange,1000.0,2.112720762270526,2.1356846117623656,0.23904,0.004832432099885112
55,exchange,1000.0,2.1028878133444744,2.127023687585237,0.24148999999999998,0.00570358659090927
56,exchange,1000.0,2.0930680113755398,2.11843078651257,0.24407,0.004779131720302336
57,exchange,1000.0,2.0830911641700753,2.1102876643562665,0.24676,0.005688444427081977
58,exchange,1000.0,2.0738626179022615,2.1019586875941174,0.2509,0.0029468627385747063
59,exchange,1000.0,2.065759105309688,2.0939269737885615,0.25383999999999995,0.004917357013681229
60,exchange,1000.0,2.0570258014201515,2.0870758646009824,0.25444999999999995,0.006590030348943772
61,exchange,1000.0,2.0484050165940353,2.07955880291392,0.25750000000000006,0.00527541467564399
62,exchange,1000.0,2.040858811409737,2.0735591562157802,0.26086,0.004239150858367741
63,exchange,1000.0,2.03355341740897,2.067388785538443,0.26359,0.0045704376158088025
64,exchange,1000.0,2.027122631858491,2.060640016971509,0.2647,0.003861864834506765
65,exchange,1000.0,2.02047534928174,2.055412450671268,0.26761,0.004993886262221033
66,exchange,1000.0,2.0137026330585575,2.0498949716049863,0.26786,0.002071810802172824
67,exchange,1000.0,2.0075281041527817,2.0448922471493063,0.27073,0.004261232216155322
68,exchange,1000.0,2.0019929854502103,2.0398209793535544,0.27229000000000003,0.004577652236682035
69,exchange,1000.0,1.9965743209678084,2.0346370952633683,0.27414,0.0035626394709540863
70,exchange,1000.0,1.9908865292126392,2.0300063831162927,0.2764,0.003615522092312535
71,exchange,1000.0,1.98517449100145,2.0242187694458504,0.27688999999999997,0.003590389950966329
72,exchange,1000.0,1.9787223828007285,2.0197217074703966,0.27945000000000003,0.0028054411417814383
73,exchange,1000.0,1.9733552524696638,2.0150956936815074,0.28218,0.0033570224902433983
74,exchange,1000.0,1.9680463200631497,2.009536519945971,0.28578000000000003,0.004017163178164415
75,exchange,1000.0,1.9623677993415416,2.0044180590336955,0.28557,0.003449942028498446
76,exchange,1000.0,1.9561699272680044,1.9984680538706372,0.29029,0.002687917409445456
77,exchange,1000.0,1.95028911671966,1.9927801554918485,0.2909,0.003503712316957548
78,exchange,1000.0,1.9452004051628689,1.9887162115795995,0.29170999999999997,0.0037262447584666286
79,exchange,1000.0,1.939786381338213,1.9833814239819698,0.29467999999999994,0.0034839058540666653
80,exchange,1000.0,1.9334639230275292,1.9768984036654644,0.29481999999999997,0.004229373476060018
