sg_idx,case,sample_rank,recon_index,node,row_type,matched_mse_mean,matched_mse_node,ssim,psnr,case_mse_mean,case_mse_var,case_ssim_mean,case_ssim_var,case_psnr_mean,case_psnr_var
0,case1_exact_pattern,1,1,2,node,1.7147530646640672e-10,6.01764286602737e-10,0.6064560758773648,18.14309631174249,,,,,,
0,case1_exact_pattern,1,1,3,node,1.7147530646640672e-10,8.413693926288987e-11,0.5440333084193313,19.63939781161252,,,,,,
0,case1_exact_pattern,1,1,6,node,1.7147530646640672e-10,2.1558889749655563e-34,0.6480619026069688,21.829399599138963,,,,,,
0,case1_exact_pattern,1,1,9,node,1.7147530646640672e-10,7.672141290548381e-35,0.7343348091175942,22.423839151928398,,,,,,
0,case1_exact_pattern,1,1,mean,sample_mean,1.7147530646640672e-10,1.7147530646640672e-10,0.6332215240053148,20.50893321860559,,,,,,
0,case1_exact_pattern,2,2,2,node,1.4016540715640598e-10,5.303723304909834e-10,0.6180623576196457,18.745619386602083,,,,,,
0,case1_exact_pattern,2,2,3,node,1.4016540715640598e-10,3.028929813464049e-11,0.5179352749995472,19.457771026292303,,,,,,
0,case1_exact_pattern,2,2,6,node,1.4016540715640598e-10,9.547878867966622e-36,0.5795980999618041,20.551611758195214,,,,,,
0,case1_exact_pattern,2,2,9,node,1.4016540715640598e-10,2.6582626643090253e-34,0.7430917132888885,22.08163822680398,,,,,,
0,case1_exact_pattern,2,2,mean,sample_mean,1.4016540715640598e-10,1.4016540715640598e-10,0.6146718614674713,20.209160099473394,,,,,,
0,case1_exact_pattern,3,3,2,node,1.7453293281219673e-10,6.981317312487869e-10,0.5912974082673532,17.90219496993849,,,,,,
0,case1_exact_pattern,3,3,3,node,1.7453293281219673e-10,1.0413128066021213e-34,0.5280351590678566,19.650043561266372,,,,,,
0,case1_exact_pattern,3,3,6,node,1.7453293281219673e-10,1.5064422737775268e-34,0.6593112477744709,21.74689587920777,,,,,,
0,case1_exact_pattern,3,3,9,node,1.7453293281219673e-10,3.6498619986719924e-34,0.725625514004415,22.28138427144713,,,,,,
0,case1_exact_pattern,3,3,mean,sample_mean,1.7453293281219673e-10,1.7453293281219673e-10,0.626067332278524,20.39512967046494,,,,,,
0,case1_exact_pattern,4,4,2,node,4.4869847456063096e-10,1.710656958979634e-09,0.5260889194552264,17.15330055036764,,,,,,
0,case1_exact_pattern,4,4,3,node,4.4869847456063096e-10,8.413693926289001e-11,0.4648020891918492,18.895666721954647,,,,,,
0,case1_exact_pattern,4,4,6,node,4.4869847456063096e-10,3.282389051819455e-35,0.6378166822766481,21.11686666404675,,,,,,
0,case1_exact_pattern,4,4,9,node,4.4869847456063096e-10,1.944642039211182e-34,0.7679388579422245,23.23955356638274,,,,,,
0,case1_exact_pattern,4,4,mean,sample_mean,4.4869847456063096e-10,4.4869847456063096e-10,0.5991616372164871,20.101346875687945,,,,,,
0,case1_exact_pattern,5,5,2,node,1.1541201709293513e-08,7.425046095153608e-10,0.03609528253725288,9.788531914496218,,,,,,
0,case1_exact_pattern,5,5,3,node,1.1541201709293513e-08,6.815092080294077e-09,0.37221760105005913,17.519582433260297,,,,,,
0,case1_exact_pattern,5,5,6,node,1.1541201709293513e-08,7.354153844917068e-36,0.642781821229368,21.325444938395968,,,,,,
0,case1_exact_pattern,5,5,9,node,1.1541201709293513e-08,3.860721014736461e-08,0.41304088973929876,16.271264584788597,,,,,,
0,case1_exact_pattern,5,5,mean,sample_mean,1.1541201709293513e-08,1.1541201709293513e-08,0.3660338986389947,16.226205967735268,,,,,,
0,case1_exact_pattern,6,6,2,node,1.8103533042654328e-09,6.484180763695725e-09,0.3406872286916112,14.844451022050514,,,,,,
0,case1_exact_pattern,6,6,3,node,1.8103533042654328e-09,7.57232453366007e-10,0.4851149341735006,18.8965839855836,,,,,,
0,case1_exact_pattern,6,6,6,node,1.8103533042654328e-09,7.54441503313654e-36,0.6273050796521085,21.191740154340444,,,,,,
0,case1_exact_pattern,6,6,9,node,1.8103533042654328e-09,1.0008294594915173e-35,0.7480280887088573,22.92610475101271,,,,,,
0,case1_exact_pattern,6,6,mean,sample_mean,1.8103533042654328e-09,1.8103533042654328e-09,0.5502838328065194,19.464719978246816,,,,,,
0,case1_exact_pattern,7,7,2,node,5.536750852031206e-09,7.425046095153623e-10,0.0490308828208495,8.979620895670031,,,,,,
0,case1_exact_pattern,7,7,3,node,5.536750852031206e-09,6.815092080294075e-09,0.369945706604582,17.466206078806394,,,,,,
0,case1_exact_pattern,7,7,6,node,5.536750852031206e-09,5.508216223701509e-35,0.6241739285417095,20.990894254016574,,,,,,
