round,dp_mode,dp_epsilon,train_loss_mean,test_loss_mean,test_acc_mean,test_acc_std
0,aggregate,100.0,2.302380699828583,2.4389038557505294,0.10087000000000002,0.013679769734904168
1,aggregate,100.0,2.245648698925093,2.5905975821253766,0.09765,0.012462684301545955
2,aggregate,100.0,2.222237117136264,2.802272329972065,0.09655,0.015836555812423356
3,aggregate,100.0,2.215659368798326,2.7198721350689246,0.09809,0.013019174320977501
4,aggregate,100.0,2.1907075265177056,2.812855428297949,0.10175999999999999,0.01343325723717074
5,aggregate,100.0,2.181793516783431,2.8651149504485964,0.10441,0.0103879208699335
6,aggregate,100.0,2.1880732836313577,2.903960716761582,0.10508999999999999,0.022871661505015326
7,aggregate,100.0,2.167316965251041,3.1343047134835373,0.10115,0.009864608456497403
8,aggregate,100.0,2.13083451002721,3.157033705587083,0.09902,0.0072370988662584955
9,aggregate,100.0,2.1325715725393573,3.1386972743360944,0.10829,0.00867011533948655
10,aggregate,100.0,2.1392367588866747,3.130609254100481,0.10469999999999999,0.013507035203922435
11,aggregate,100.0,2.1392632078603184,3.299800625833597,0.09925999999999999,0.015735895271639298
12,aggregate,100.0,2.111794995802973,3.1500321820776813,0.10794999999999999,0.011033789013752257
13,aggregate,100.0,2.0952034415205967,3.123220557230081,0.11881,0.014732579543311483
14,aggregate,100.0,2.096107161095813,3.3239023565308656,0.11185,0.012949845558924634
15,aggregate,100.0,2.094568439178397,3.2886655676165324,0.11506000000000001,0.01269883459219782
16,aggregate,100.0,2.077532279826184,3.2111107369735947,0.10949,0.006337893971975235
17,aggregate,100.0,2.063966726561533,3.2338338867712992,0.11760000000000001,0.015749222203016885
18,aggregate,100.0,2.052131327393793,3.3827078204526315,0.11939999999999999,0.009799489782636643
19,aggregate,100.0,2.0488564190245255,3.315622079367168,0.11427000000000001,0.012733110381992298
20,aggregate,100.0,2.056042814491239,3.2068066845876864,0.11338999999999999,0.014684716544761769
21,aggregate,100.0,2.0740537329141295,3.4728242005528314,0.12658,0.01785255163835131
22,aggregate,100.0,2.045767343983136,3.0653560535385345,0.12179000000000002,0.012605510699690034
23,aggregate,100.0,2.052410614853461,3.1916048173911085,0.12867,0.02331892150164754
24,aggregate,100.0,2.0451095313155445,3.2867965640462855,0.1216,0.013855684753919599
25,aggregate,100.0,2.0784711530549425,3.2988190600882517,0.12306999999999998,0.014101989221382918
26,aggregate,100.0,2.028009974501186,3.3792911020312815,0.1298,0.0134892549831338
27,aggregate,100.0,2.063193086537203,3.057449852862889,0.13516999999999998,0.017221443028968275
28,aggregate,100.0,2.028338908082405,3.3331220977939666,0.12248,0.0160932780998776
29,aggregate,100.0,2.048868307370036,3.1178358518262166,0.12929,0.011818328985097682
30,aggregate,100.0,2.0117949782377,3.1843505766936895,0.13484000000000002,0.015608407990567138
31,aggregate,100.0,2.000225717621084,3.2547359513802476,0.14128999999999997,0.013372692324285335
32,aggregate,100.0,1.9880263735796775,3.312070468061981,0.14534,0.013561799290654613
33,aggregate,100.0,1.9858254781207425,3.3129752274047126,0.13832000000000003,0.015208668580779844
34,aggregate,100.0,1.9690923881757705,3.4693515765799177,0.13739,0.01741289464735832
35,aggregate,100.0,1.9751797442706276,3.2585513545596223,0.13995,0.018288534659726022
36,aggregate,100.0,1.9782551245915747,3.427435808596088,0.14185999999999999,0.018697283225110536
37,aggregate,100.0,1.9735306723038781,3.5813193909011134,0.14394,0.02591810949895845
38,aggregate,100.0,1.9610149649161883,3.3477711122124005,0.14165,0.023436989994451075
39,aggregate,100.0,1.9793780480034102,3.180312095098159,0.14721,0.017052064391152175
40,aggregate,100.0,1.9733384044029598,3.220662010757335,0.15688,0.01942579728093547
41,aggregate,100.0,1.989029860113138,3.6317726281687968,0.14664000000000002,0.01503863025677538
42,aggregate,100.0,1.9623179219015412,3.214156977531546,0.15832,0.02442723070673383
43,aggregate,100.0,1.9636295776804826,3.1747612569978134,0.15133999999999997,0.020981572867637927
44,aggregate,100.0,1.9813780018844944,3.2133273233648003,0.15069000000000002,0.018854413276471905
45,aggregate,100.0,1.9810452872006041,3.090821263301642,0.14797,0.02106172120221897
46,aggregate,100.0,1.9681386733347979,3.164055944207007,0.14435,0.014104556001519507
47,aggregate,100.0,1.9869846957347037,3.1470299812988287,0.15816,0.012502895664605058
48,aggregate,100.0,1.9733715589563263,3.201147834974954,0.15758999999999998,0.014823862519599941
49,aggregate,100.0,1.9653425848461477,3.072298552639043,0.16277000000000003,0.015014662833377245
50,aggregate,100.0,1.9700994992253817,3.197717757833294,0.16149,0.022369374153069194
51,aggregate,100.0,1.9596787395708741,3.180064606554032,0.16325,0.01793640153431005
52,aggregate,100.0,1.9851690013260672,3.1224618113045493,0.15155000000000002,0.0192058975317479
53,aggregate,100.0,1.9487460684292965,3.3377079844363964,0.15348,0.015840378783349846
54,aggregate,100.0,1.965590385995295,3.1523079910708782,0.15325,0.017446160035950606
55,aggregate,100.0,1.9768218115513345,3.231620488836684,0.15865,0.01801567373150391
56,aggregate,100.0,1.9848247445297535,3.0026135311288913,0.15339,0.016041162676065594
57,aggregate,100.0,1.9929963978297327,3.23373353204152,0.14558,0.019378121684002297
58,aggregate,100.0,1.990383375818259,3.162516657725953,0.15741,0.01985852210009597
59,aggregate,100.0,1.987616540456251,3.0400080380198253,0.15935000000000002,0.012330227086311103
60,aggregate,100.0,1.9737899265950318,3.078420045002873,0.14425,0.021199492918463878
61,aggregate,100.0,1.99434476365951,3.1760158022744998,0.15971,0.022386578568419066
62,aggregate,100.0,1.9952960919861773,3.1675029179554963,0.15365,0.014632378480616198
63,aggregate,100.0,1.9878824166824987,3.15634813284876,0.15936,0.019480564673540656
64,aggregate,100.0,1.9915155254660093,3.092137429929454,0.15171,0.01918897860752364
65,aggregate,100.0,2.003704014554141,2.984529742120422,0.15572,0.014639931693829725
