topology,trial,n_honest,n_corrupt,graph_attempts,scale_factor,max_B,found_nonempty,found_num_vectors,true_weights_all_found,true_weights_matched,case1_num_solutions,case2_num_solutions,case3_num_solutions,step1_time,step2_time
1,1,3,7,1,9,2,True,6,True,3,,2,6,0.111992,0.000508
2,1,3,7,1,7,2,True,4,True,3,,2,3,0.005444,0.000416
3,1,3,7,2,8,2,True,4,True,3,,2,3,0.00089,0.000266
4,1,3,7,1,8,2,False,0,False,0,,,,,
5,1,3,7,1,7,2,True,5,True,3,,2,3,0.000849,0.000312
6,1,3,7,1,6,2,True,6,True,3,,2,3,0.000995,0.000272
7,1,3,7,2,8,2,True,4,True,3,,1,3,0.000704,0.000307
8,1,3,7,1,7,2,True,6,True,3,,2,3,0.00078,0.000443
9,1,3,7,1,6,2,True,4,True,3,,1,3,0.000918,0.000276
10,1,3,7,1,7,2,True,4,True,3,,1,3,0.000622,0.000219
