round,dp_mode,dp_epsilon,train_loss_mean,test_loss_mean,test_acc_mean,test_acc_std
0,aggregate,500.0,2.302380699828583,2.303485410310592,0.1026,0.004692334173947972
1,aggregate,500.0,2.30204849723112,2.3029451836285975,0.10875000000000001,0.01038684263864626
2,aggregate,500.0,2.300885428332626,2.3030689241702236,0.10651000000000002,0.011798851639036741
3,aggregate,500.0,2.3010615331514206,2.3025054002391734,0.09968,0.006817008141406317
4,aggregate,500.0,2.3005360457787685,2.3019706970106215,0.10557999999999998,0.010218982336808296
5,aggregate,500.0,2.2993991179180617,2.3020713214125963,0.11000000000000001,0.011439755242136956
6,aggregate,500.0,2.2995465736430245,2.3017894113757738,0.11299000000000001,0.014593796627334505
7,aggregate,500.0,2.2985788770380786,2.3009782144979978,0.11100999999999998,0.00983427170663898
8,aggregate,500.0,2.297885836736669,2.3004873324509836,0.12315999999999998,0.01759790896669261
9,aggregate,500.0,2.296963021443224,2.299578416137945,0.12132999999999998,0.021927656053486427
10,aggregate,500.0,2.296084100188261,2.2986713962552567,0.12412000000000001,0.013649380938342956
11,aggregate,500.0,2.2952426340187877,2.2979527673709925,0.13721,0.01642397333168804
12,aggregate,500.0,2.293615856099436,2.2977556800373904,0.13062,0.01563533178413557
13,aggregate,500.0,2.2936475576610493,2.2970232063249343,0.13177,0.015163709968210289
14,aggregate,500.0,2.2920980731626157,2.2963443678072943,0.13504,0.023553055003544664
15,aggregate,500.0,2.291563212707976,2.2952079468521625,0.1341,0.01558762329542256
16,aggregate,500.0,2.290876191944448,2.2941246179480177,0.13815000000000002,0.02017762374512916
17,aggregate,500.0,2.2891192995235574,2.2943949956902694,0.12889,0.01990916623065868
18,aggregate,500.0,2.2890630602887216,2.293268012013153,0.14654,0.028901079564611423
19,aggregate,500.0,2.2878065605284306,2.2919752079977416,0.14784000000000003,0.018061960026530894
20,aggregate,500.0,2.285991115080198,2.2915272279163466,0.14267,0.018068428265900716
21,aggregate,500.0,2.285311294451657,2.2907316089012277,0.13804,0.02350885790505357
22,aggregate,500.0,2.2842264996442077,2.2900597419308983,0.14665,0.021119765623699525
23,aggregate,500.0,2.2834775347814453,2.288414521464498,0.15341,0.018899600524878827
24,aggregate,500.0,2.281297426544302,2.286679250423455,0.16444,0.024371713111720317
25,aggregate,500.0,2.2786685146038916,2.284780562704177,0.15259999999999999,0.014381376846463623
26,aggregate,500.0,2.2763733337752523,2.283258495334128,0.15183,0.030715437486710163
27,aggregate,500.0,2.274876957886419,2.2806407537361837,0.16316,0.02300548630218453
28,aggregate,500.0,2.2717967126412417,2.2788715388935428,0.17794000000000001,0.017991342362369735
29,aggregate,500.0,2.2686943988370407,2.2760392146190815,0.17412,0.011612820501497471
30,aggregate,500.0,2.266002624110653,2.2728169266697593,0.17783,0.019767804632786115
31,aggregate,500.0,2.260868681902756,2.269463484212878,0.17884999999999998,0.022881925181242945
32,aggregate,500.0,2.2556062252022757,2.26600099211547,0.17226999999999998,0.02893441031021714
33,aggregate,500.0,2.2508541806607956,2.2604466554665286,0.18178999999999998,0.029667033892858248
34,aggregate,500.0,2.2429271345159503,2.2549769645728555,0.19005999999999998,0.013866737179307895
35,aggregate,500.0,2.2363042671586753,2.250609439950363,0.19324000000000002,0.01753238146972624
36,aggregate,500.0,2.231714778325895,2.2443840988951727,0.20244999999999996,0.02006415958867951
37,aggregate,500.0,2.2237337210305386,2.2356397742256204,0.20432999999999998,0.011496786507542012
38,aggregate,500.0,2.210750932129973,2.227914132761009,0.21147,0.017475414158182344
39,aggregate,500.0,2.202924367574655,2.218882141904627,0.21164999999999998,0.017201526095088192
40,aggregate,500.0,2.1905008177083354,2.2088731975409246,0.21929999999999997,0.015968468930990222
41,aggregate,500.0,2.1786040548463985,2.198409990923776,0.22314000000000003,0.017568164389030517
42,aggregate,500.0,2.16177196351052,2.1877908201823564,0.22409000000000004,0.01243160890633228
43,aggregate,500.0,2.150043130856429,2.174794981603776,0.22797,0.010809259919161903
44,aggregate,500.0,2.135091495288826,2.1640722434092656,0.22851,0.012235885746442719
45,aggregate,500.0,2.1211639465441,2.1516099272993188,0.23318,0.008674537451645477
46,aggregate,500.0,2.1072158570999235,2.141329503113222,0.23753000000000002,0.007727619297040971
47,aggregate,500.0,2.0942670623780804,2.1307153844221856,0.24131999999999998,0.007903771251750643
48,aggregate,500.0,2.0836454745577906,2.118691304156884,0.24489,0.007586494579184784
49,aggregate,500.0,2.0727717190474646,2.1126482582663035,0.24474,0.0072835705529637
50,aggregate,500.0,2.0632012576928136,2.107542386216089,0.23662999999999998,0.015600067307547101
51,aggregate,500.0,2.0543204121889262,2.0948353234695016,0.24711999999999995,0.008737253573062872
52,aggregate,500.0,2.0421825206949284,2.0878177393971966,0.25127,0.00903659781112338
53,aggregate,500.0,2.0325256928230444,2.0786445441850705,0.2527400000000001,0.00682190589205099
54,aggregate,500.0,2.0248685216060633,2.0735270347443757,0.25268,0.01406803468861234
55,aggregate,500.0,2.01635576850967,2.069326114174066,0.25400999999999996,0.0070579671294218995
56,aggregate,500.0,2.007788418389086,2.0612717650014507,0.25898000000000004,0.007416306358289153
57,aggregate,500.0,2.001047482563454,2.0540623772856543,0.26061,0.009306605181267765
58,aggregate,500.0,1.9925619462764428,2.0494744583204905,0.26193999999999995,0.010010914044181973
59,aggregate,500.0,1.987561429039492,2.043447606549783,0.26094,0.00866385595448124
60,aggregate,500.0,1.9763088811175944,2.039792299470572,0.26499,0.00782693426572627
61,aggregate,500.0,1.9679355198644202,2.0312195088883316,0.2663,0.013325614432362964
62,aggregate,500.0,1.9580825651952622,2.0254359641099438,0.27502000000000004,0.0070622659253245365
63,aggregate,500.0,1.952079194551613,2.0201035613619798,0.27771,0.009092243947453232
64,aggregate,500.0,1.946624686627544,2.014312323571832,0.27639,0.010589848912992094
65,aggregate,500.0,1.9383760539171504,2.0040082460931568,0.28196999999999994,0.010337025684402649
66,aggregate,500.0,1.9309748910172793,2.0022365296887195,0.27944,0.009132710441046516
67,aggregate,500.0,1.9212889554092822,1.9952255073211411,0.28535,0.007931866110821584
68,aggregate,500.0,1.9150135113319084,1.994424127325758,0.28262,0.008275965200506835
69,aggregate,500.0,1.9103993996686999,1.9848080787278757,0.28626000000000007,0.006367762558387359
70,aggregate,500.0,1.8998486490444555,1.9819765441410315,0.2912100000000001,0.00836450237611299
71,aggregate,500.0,1.8941807584826436,1.9732120021353836,0.28949,0.010599193365534951
72,aggregate,500.0,1.8842238778210672,1.9695609840305557,0.28957,0.009893437218681895
73,aggregate,500.0,1.8772980301343332,1.9601689535160023,0.30022,0.010946488021278794
74,aggregate,500.0,1.8688150985997372,1.9602932980355923,0.29337,0.014404863761938181
75,aggregate,500.0,1.859330961421226,1.9513865626262856,0.29893000000000003,0.01028572311507557
76,aggregate,500.0,1.8515747637821935,1.9396048969064033,0.30363000000000007,0.006793533690208653
77,aggregate,500.0,1.8433122395102004,1.9320537220698575,0.30801999999999996,0.010345607763684065
78,aggregate,500.0,1.835117846138895,1.9345902272988031,0.30527999999999994,0.010343094314565635
79,aggregate,500.0,1.8283889801705318,1.928690171898691,0.3075,0.007633216884119031
80,aggregate,500.0,1.8190830083245377,1.9224308322646333,0.31128999999999996,0.008320390615830486
81,aggregate,500.0,1.8123996554332407,1.9160076549668816,0.30818,0.010334389193367939
82,aggregate,500.0,1.8026318695233243,1.9143364759411323,0.31076000000000004,0.01069151065097912
83,aggregate,500.0,1.7940030536283043,1.907767616744961,0.31357999999999997,0.0107072685592545
84,aggregate,500.0,1.7886395470928664,1.8986141812570227,0.31629000000000007,0.007562730988207902
85,aggregate,500.0,1.7777617979950926,1.8882278860343362,0.32105,0.012389128298633445
86,aggregate,500.0,1.7738055146216698,1.897272628659533,0.31892000000000004,0.010218884479237446
87,aggregate,500.0,1.764611868245178,1.8939123748456084,0.31741,0.012844566944821454
88,aggregate,500.0,1.754927001835353,1.8741797293116886,0.32596,0.009941347997127958
89,aggregate,500.0,1.747209088898583,1.8714494335364829,0.32361999999999996,0.0077099675745102925
90,aggregate,500.0,1.7374087320675744,1.8807850391119447,0.32166000000000006,0.011398087558884612
91,aggregate,500.0,1.729784856197682,1.8697909233433196,0.32476,0.014603711856921853
92,aggregate,500.0,1.7226806601003468,1.8759097550044985,0.32560999999999996,0.011302517418699252
93,aggregate,500.0,1.7141526843533061,1.859175086079097,0.3309,0.01285340421833842
94,aggregate,500.0,1.7079936525413046,1.8533423696475282,0.33038,0.011510499554754349
95,aggregate,500.0,1.6990952387907883,1.859923923180767,0.33155999999999997,0.014915508707382393
96,aggregate,500.0,1.6882396690123986,1.8504017720019508,0.33167,0.00999590416120522
97,aggregate,500.0,1.6836727274347774,1.8465878447820852,0.33285,0.009785933782731215
98,aggregate,500.0,1.6781070459326746,1.834324501727003,0.34034,0.01328015060155569
99,aggregate,500.0,1.664874299766884,1.8351765154618431,0.33714,0.015158113339066973
100,aggregate,500.0,1.6599308662937893,1.8272620925878122,0.34314,0.011143267025428403
101,aggregate,500.0,1.6506840786248271,1.8392018223506086,0.33783,0.01660686906072303
102,aggregate,500.0,1.6419308543610522,1.8182700209345775,0.34514999999999996,0.008612810226633348
103,aggregate,500.0,1.6403556935790609,1.8057272051046414,0.35341,0.010069404153176096
104,aggregate,500.0,1.63805395890559,1.8253496176686794,0.34532,0.010547208161404607
105,aggregate,500.0,1.6205589070404547,1.8170769138255403,0.34557000000000004,0.010588394590304999
106,aggregate,500.0,1.6124632842359703,1.7888935127593126,0.35785999999999996,0.01862451073182863
107,aggregate,500.0,1.6053199245505074,1.8172870299956547,0.34814,0.009885261756777106
108,aggregate,500.0,1.6129099368815563,1.7966880028623575,0.35572,0.013016435764063833
109,aggregate,500.0,1.614523293957967,1.8087045790470122,0.34968000000000005,0.01837959738405605
110,aggregate,500.0,1.621137899108729,1.8012618018326063,0.35168999999999995,0.012208558473464437
111,aggregate,500.0,1.5884513221302605,1.7989410942124888,0.35191,0.01869258944073827
112,aggregate,500.0,1.5915391264868475,1.7807089818132316,0.35772,0.016345323490221903
113,aggregate,500.0,1.5905941288784415,1.7999330782287668,0.35100999999999993,0.023106728457313038
114,aggregate,500.0,1.5903685012081128,1.8138252139033508,0.35329,0.0162322795688098
115,aggregate,500.0,1.577457241955544,1.8062465833176702,0.35061000000000003,0.014719541433074607
