round,dp_mode,dp_epsilon,train_loss_mean,test_loss_mean,test_acc_mean,test_acc_std
0,exchange,200.0,2.302380699828583,2.3039632885577648,0.10444,0.0067822120285346435
1,exchange,200.0,2.3020346913979703,2.3033770071917514,0.10227,0.004498010671396858
2,exchange,200.0,2.3001036543814144,2.3041478424040704,0.09697999999999998,0.006235671575700569
3,exchange,200.0,2.300432062669303,2.3035304662624343,0.09576000000000001,0.00921131912377375
4,exchange,200.0,2.2988993012274497,2.3028672695432015,0.10274000000000001,0.0029241067011995295
5,exchange,200.0,2.2959461087277786,2.3031446744056283,0.11173,0.01094230780045965
6,exchange,200.0,2.295394829468614,2.3044211641601655,0.10837999999999999,0.006481018438486348
7,exchange,200.0,2.293807370607347,2.3011541048655104,0.12157,0.0060812909813624276
8,exchange,200.0,2.289737703296708,2.2997307050584626,0.11780000000000002,0.009742997485373788
9,exchange,200.0,2.286922624465638,2.298668075547364,0.11852,0.011837719374947184
10,exchange,200.0,2.282735243022528,2.2941236518115535,0.13478,0.015901559671931558
11,exchange,200.0,2.2766349174521205,2.2880328362730524,0.13806,0.014961363574220102
12,exchange,200.0,2.266494212523349,2.2860053298980545,0.14097,0.014903425780672042
13,exchange,200.0,2.2612974287102636,2.2819409692418176,0.14206,0.01547218148807724
14,exchange,200.0,2.254395635559926,2.2747347474569355,0.14453,0.02499740186499389
15,exchange,200.0,2.24688604880867,2.2638407418727096,0.14561000000000002,0.017248852135721957
16,exchange,200.0,2.233080527898303,2.259585640009983,0.15274,0.015199618416262958
17,exchange,200.0,2.2231458430402826,2.253620286556415,0.16962,0.019119403756393656
18,exchange,200.0,2.210223819313339,2.2427300551030767,0.18633000000000002,0.03399326550950938
19,exchange,200.0,2.190654662718707,2.2292223230429724,0.1806,0.02152124531712791
20,exchange,200.0,2.170595556795133,2.2163255155763633,0.19219,0.021342748182930894
21,exchange,200.0,2.1532779069850227,2.2067976548983124,0.19373,0.011583440766887877
22,exchange,200.0,2.1352238618278996,2.191342989695411,0.20173000000000002,0.015612818451516054
23,exchange,200.0,2.117191630334793,2.1747054347169907,0.20449,0.01420503079898104
24,exchange,200.0,2.0938489030554943,2.1663168134440154,0.20936999999999997,0.013229894179470972
25,exchange,200.0,2.071090986289215,2.14826123460995,0.21814,0.01719844178988318
26,exchange,200.0,2.0522218352011707,2.1303464994642813,0.23156,0.009271591017727213
27,exchange,200.0,2.0348953354246593,2.11087939787623,0.23931,0.012333649095056982
28,exchange,200.0,2.0094449932273433,2.111636550938484,0.23895,0.01824068255301868
29,exchange,200.0,1.9868448891822001,2.0879381120975857,0.24580999999999995,0.021691585926344806
30,exchange,200.0,1.957594308095017,2.068685872868142,0.25573,0.009165156845357318
31,exchange,200.0,1.9377937682926691,2.0698312766874496,0.24634,0.01124466095531564
32,exchange,200.0,1.916098958975247,2.07113492688734,0.25773,0.02423815380758196
33,exchange,200.0,1.8967181862709968,2.0427464243319458,0.26573,0.01590088362324559
34,exchange,200.0,1.8768862745297121,2.0440757412483683,0.27214,0.01892274821478107
35,exchange,200.0,1.8608008772317948,2.026923908351114,0.27216999999999997,0.017992390058021748
36,exchange,200.0,1.84598595034531,2.0125747905315707,0.28335999999999995,0.022127909978124912
37,exchange,200.0,1.8257126391325653,2.0139153839907733,0.27386,0.020510007313504306
38,exchange,200.0,1.7994583702628006,1.9793119809561652,0.29295,0.01921318557657736
39,exchange,200.0,1.7900519051404036,1.994515850714094,0.28173000000000004,0.025822937478141402
40,exchange,200.0,1.7670703699789008,1.979697050698639,0.29138000000000003,0.020084312285960904
41,exchange,200.0,1.7559714676295883,2.0251403401822636,0.26793,0.020915259979259165
42,exchange,200.0,1.7460176207705662,2.0411587863740275,0.27638,0.019913251869044395
43,exchange,200.0,1.7332343283239848,1.9645762066872645,0.2925,0.017389652095427328
44,exchange,200.0,1.7262099023266315,1.968814427208716,0.29449000000000003,0.023062066256083827
45,exchange,200.0,1.742574059329193,2.017020323548967,0.28213999999999995,0.022856036401791104
46,exchange,200.0,1.700549621662672,2.0036659581232863,0.29229,0.03776250653756977
47,exchange,200.0,1.6964915436583126,1.982855810189821,0.29106,0.01473392004864965
48,exchange,200.0,1.708128187522377,1.9568866138813086,0.3006,0.022355357299761503
49,exchange,200.0,1.6784263395475993,1.9637638042629313,0.3033,0.02974004034967001
50,exchange,200.0,1.6648070958392118,1.9916918753896062,0.28567,0.024006751133795672
51,exchange,200.0,1.6575648330080135,1.9404974084971194,0.29856000000000005,0.02278684708335051
52,exchange,200.0,1.6545242859016245,1.9364446531700903,0.30976,0.020868119225268007
53,exchange,200.0,1.6529316057348276,1.934763827661622,0.31195,0.0242539996701575
54,exchange,200.0,1.6763422616680217,1.9503816943441172,0.31133,0.031012450725474767
55,exchange,200.0,1.6418129606421321,1.9791008723735513,0.30469,0.0314320362051204
56,exchange,200.0,1.6426175989572829,1.9407106268625114,0.31344000000000005,0.025062250497511193
57,exchange,200.0,1.6332224882598243,1.8809528220565503,0.32622,0.027183774572343705
58,exchange,200.0,1.6005535256384593,1.9717230138842528,0.30874,0.04149675168010142
59,exchange,200.0,1.6222146884159028,1.9329783524721684,0.30929999999999996,0.02235593880828984
60,exchange,200.0,1.613520615725053,2.0964098784127074,0.27541000000000004,0.01256594206575854
61,exchange,200.0,1.5735094665115035,1.9698365209119928,0.31751000000000007,0.026586667711467712
62,exchange,200.0,1.5945898174660298,1.9086860893383686,0.32181000000000004,0.023612007538538524
63,exchange,200.0,1.547005108656056,1.9160605612451516,0.32266,0.025927483487604423
64,exchange,200.0,1.5398348181095707,1.906274137526228,0.32963000000000003,0.023579187857091257
65,exchange,200.0,1.5284430175355763,1.9162070494019041,0.32541000000000003,0.027898116423873496
66,exchange,200.0,1.5365684180155896,1.8344204676983729,0.34669999999999995,0.02465157195799083
67,exchange,200.0,1.495894366486079,1.8849783392165391,0.33694999999999997,0.029084162356856694
68,exchange,200.0,1.5043711581315882,1.909635045062726,0.33067,0.03893751532904996
69,exchange,200.0,1.4775215997354012,1.847901088794598,0.34446000000000004,0.024326002548713182
70,exchange,200.0,1.4989136110190235,1.9035880130980423,0.32981000000000005,0.025101531825767125
71,exchange,200.0,1.4837461693721938,1.8313551817433598,0.34734000000000004,0.017961803918315113
72,exchange,200.0,1.4795649506424902,1.9081678595375582,0.33863999999999994,0.021267825464771895
73,exchange,200.0,1.4674490304736496,1.9570606141003293,0.32809000000000005,0.03209390752152191
74,exchange,200.0,1.4395191035005213,1.8793409378855745,0.34076999999999996,0.02007700425860393
75,exchange,200.0,1.4356917616992857,1.912593989884637,0.33330000000000004,0.03527208528000578
76,exchange,200.0,1.4094938046356098,1.866799663597072,0.34713,0.023735460812885016
77,exchange,200.0,1.4119035074829345,1.8014022966451573,0.36048,0.026116232500113794
78,exchange,200.0,1.4137139922009658,1.8393433681683462,0.35486,0.025080996790398904
79,exchange,200.0,1.4069106941997844,1.8782088322408161,0.34797,0.02477837968875286
80,exchange,200.0,1.4145163586324614,1.850170805056956,0.35691,0.026752250372632205
