topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,16,4,0.116885,0.00093
2,1,True,6,4,0.000963,0.000366
3,1,True,12,4,0.00074,0.000598
4,1,True,12,4,0.000699,0.000557
5,1,True,9,4,0.000683,0.000465
6,1,True,12,4,0.00062,0.00056
7,1,True,12,4,0.000629,0.000535
8,1,True,10,4,0.0006,0.000509
9,1,True,12,4,0.001397,0.000628
10,1,True,5,4,0.000546,0.000283
11,1,True,16,4,0.000514,0.000749
12,1,True,16,4,0.00058,0.000615
13,1,True,12,4,0.000609,0.000477
14,1,True,10,4,0.000564,0.000436
15,1,True,16,4,0.000754,0.000712
16,1,True,6,4,0.000647,0.000317
17,1,True,7,4,0.000679,0.000446
18,1,False,0,0,,
19,1,True,16,4,0.001511,0.000858
20,1,True,10,4,0.000662,0.000547
21,1,True,16,4,0.000607,0.000693
22,1,True,16,4,0.000572,0.000719
23,1,False,0,0,,
24,1,True,10,4,0.000595,0.00045
25,1,False,0,0,,
26,1,True,16,4,0.000508,0.000667
27,1,True,16,4,0.000789,0.000632
28,1,True,6,4,0.00059,0.000291
29,1,True,12,4,0.000522,0.000557
30,1,True,7,4,0.000578,0.000331
31,1,True,8,4,0.000571,0.000394
32,1,True,8,4,0.000558,0.000524
33,1,False,0,0,,
34,1,True,16,4,0.000571,0.000631
35,1,True,12,4,0.000557,0.00058
36,1,True,16,4,0.00058,0.000671
37,1,True,12,4,0.000545,0.000515
38,1,True,12,4,0.000564,0.0005
39,1,True,12,4,0.000525,0.000517
40,1,True,5,4,0.000523,0.000263
41,1,True,5,4,0.000556,0.000287
42,1,False,0,0,,
43,1,True,12,4,0.000614,0.000501
44,1,True,10,4,0.000595,0.000421
45,1,True,10,4,0.000569,0.000451
46,1,False,0,0,,
47,1,True,12,4,0.000805,0.000523
48,1,True,9,4,0.000525,0.000399
49,1,True,12,4,0.000545,0.000476
50,1,True,16,4,0.000526,0.00066
51,1,True,12,4,0.000535,0.00055
52,1,True,7,4,0.000553,0.000395
53,1,True,16,4,0.000587,0.000696
54,1,True,16,4,0.000454,0.000608
55,1,True,12,4,0.000574,0.000487
56,1,True,12,4,0.000552,0.000508
57,1,True,16,4,0.000483,0.000631
58,1,True,12,4,0.000493,0.000481
59,1,True,7,4,0.00053,0.000332
60,1,True,10,4,0.000481,0.00044
61,1,True,16,4,0.000473,0.000573
62,1,True,16,4,0.000558,0.000695
63,1,False,0,0,,
64,1,True,12,4,0.000484,0.000477
65,1,True,16,4,0.000478,0.000627
66,1,True,12,4,0.000749,0.000536
67,1,True,5,4,0.000529,0.000269
68,1,True,16,4,0.000483,0.000615
69,1,True,12,4,0.000561,0.000518
70,1,True,12,4,0.000526,0.000489
71,1,True,10,4,0.000512,0.000443
72,1,True,12,4,0.000649,0.000511
73,1,True,12,4,0.000526,0.00049
74,1,True,8,4,0.00054,0.000381
75,1,True,16,4,0.000534,0.000656
76,1,False,0,0,,
77,1,True,7,4,0.000524,0.000342
78,1,True,10,4,0.000565,0.000459
79,1,True,12,4,0.000517,0.000481
80,1,True,6,4,0.00063,0.000313
81,1,True,16,4,0.000532,0.000641
82,1,True,16,4,0.000481,0.000582
83,1,False,0,0,,
84,1,True,9,4,0.00061,0.000421
85,1,True,9,4,0.000509,0.000407
86,1,True,16,4,0.000654,0.000587
87,1,True,16,4,0.000489,0.000641
88,1,True,12,4,0.000493,0.000507
89,1,True,12,4,0.00053,0.000538
90,1,True,16,4,0.000526,0.000626
91,1,True,12,4,0.000533,0.000524
92,1,False,0,0,,
93,1,True,9,4,0.000544,0.000411
94,1,True,16,4,0.000549,0.000627
95,1,True,10,4,0.000511,0.000454
96,1,True,8,4,0.000525,0.000351
97,1,True,10,4,0.000565,0.000456
98,1,True,7,4,0.000533,0.000334
99,1,True,10,4,0.000701,0.000448
100,1,True,9,4,0.000545,0.000407
