topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,3,2,0.12076,0.000315
2,1,True,3,2,0.001099,0.000215
3,1,True,3,2,0.001312,0.000234
4,1,True,4,2,0.000843,0.000253
5,1,True,3,2,0.000641,0.000175
6,1,True,4,2,0.000768,0.000189
7,1,True,4,2,0.000909,0.000227
8,1,True,3,2,0.000699,0.00018
9,1,True,3,2,0.000554,0.000171
10,1,True,3,2,0.000593,0.00026
11,1,True,3,2,0.00065,0.000178
12,1,True,3,2,0.00054,0.000169
13,1,True,4,2,0.000528,0.000186
14,1,True,3,2,0.000691,0.000165
15,1,True,4,2,0.000658,0.000317
16,1,True,3,2,0.000646,0.000203
17,1,True,3,2,0.000726,0.00018
18,1,True,3,2,0.000462,0.000242
19,1,True,4,2,0.000472,0.000163
20,1,True,3,2,0.000644,0.000154
21,1,True,3,2,0.000445,0.000135
22,1,True,3,2,0.000436,0.000133
23,1,True,3,2,0.000565,0.00015
24,1,True,3,2,0.000419,0.000135
25,1,True,3,2,0.000847,0.000157
26,1,True,4,2,0.000629,0.000205
27,1,True,4,2,0.002522,0.000342
28,1,True,3,2,0.000781,0.000179
29,1,True,3,2,0.000603,0.000161
30,1,True,3,2,0.000652,0.000167
31,1,True,3,2,0.000528,0.000158
32,1,True,3,2,0.000524,0.00015
33,1,True,3,2,0.000566,0.000151
34,1,True,3,2,0.00053,0.000172
35,1,True,3,2,0.000508,0.000154
36,1,True,3,2,0.000612,0.000158
37,1,True,4,2,0.000523,0.000185
38,1,True,4,2,0.000521,0.000189
39,1,True,3,2,0.000786,0.000169
40,1,True,4,2,0.000465,0.000163
41,1,True,3,2,0.000571,0.000193
42,1,True,4,2,0.000522,0.000165
43,1,True,3,2,0.000553,0.000163
44,1,True,3,2,0.000538,0.000153
45,1,True,3,2,0.000765,0.000183
46,1,True,3,2,0.000509,0.000169
47,1,True,3,2,0.000515,0.000166
48,1,True,3,2,0.000584,0.000156
49,1,True,4,2,0.000483,0.00017
50,1,True,3,2,0.000548,0.000158
51,1,True,4,2,0.000527,0.000256
52,1,True,3,2,0.000652,0.000184
53,1,True,3,2,0.000545,0.000173
54,1,True,3,2,0.000592,0.000153
55,1,True,3,2,0.000834,0.000215
56,1,True,3,2,0.000612,0.000185
57,1,True,3,2,0.000508,0.000163
58,1,True,3,2,0.000529,0.000158
59,1,True,3,2,0.000619,0.000174
60,1,True,3,2,0.000598,0.000162
61,1,True,3,2,0.000517,0.000168
62,1,True,3,2,0.000654,0.00018
63,1,True,4,2,0.000764,0.000196
64,1,True,3,2,0.00046,0.000148
65,1,True,4,2,0.000579,0.000183
66,1,True,4,2,0.000431,0.000167
67,1,True,3,2,0.000616,0.000172
68,1,True,4,2,0.000586,0.000183
69,1,True,3,2,0.000508,0.000164
70,1,True,3,2,0.00057,0.000166
71,1,True,3,2,0.000524,0.000157
72,1,True,4,2,0.000594,0.000177
73,1,True,3,2,0.000445,0.000141
74,1,True,3,2,0.00046,0.000153
75,1,True,3,2,0.00089,0.000169
76,1,True,3,2,0.000532,0.000159
77,1,True,3,2,0.000538,0.000201
78,1,True,4,2,0.000566,0.000184
79,1,True,3,2,0.00051,0.000156
80,1,True,3,2,0.000515,0.000151
81,1,True,3,2,0.000601,0.000162
82,1,True,3,2,0.000547,0.000161
83,1,True,3,2,0.000504,0.000148
84,1,True,3,2,0.000605,0.000177
85,1,True,3,2,0.0006,0.000167
86,1,True,3,2,0.000482,0.000153
87,1,True,4,2,0.000578,0.000204
88,1,True,4,2,0.000532,0.000174
89,1,True,3,2,0.000607,0.00017
90,1,True,3,2,0.000561,0.00016
91,1,True,3,2,0.000499,0.000158
92,1,True,3,2,0.000507,0.00016
93,1,True,3,2,0.000714,0.000163
94,1,True,4,2,0.000535,0.000183
95,1,True,3,2,0.000505,0.000157
96,1,True,3,2,0.000578,0.000213
97,1,True,3,2,0.00064,0.000171
98,1,True,3,2,0.000594,0.000157
99,1,True,3,2,0.000626,0.00017
100,1,True,3,2,0.000557,0.000145
