topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,140,8,0.120766,0.011708
2,1,False,0,0,,
3,1,True,87,8,0.001894,0.007717
4,1,True,92,8,0.001737,0.008015
5,1,True,43,8,0.001775,0.003347
6,1,True,160,8,0.001714,0.01563
7,1,False,0,0,,
8,1,False,0,0,,
9,1,True,192,8,0.00155,0.021987
10,1,True,112,8,0.001247,0.01007
11,1,True,78,8,0.001283,0.006612
12,1,True,112,8,0.001314,0.010114
13,1,True,33,8,0.001598,0.002676
14,1,True,120,8,0.001789,0.009885
15,1,False,0,0,,
16,1,True,256,8,0.001163,0.026748
17,1,True,88,8,0.001186,0.007106
18,1,True,120,8,0.001193,0.010484
19,1,True,52,8,0.001142,0.0042
20,1,False,0,0,,
21,1,True,41,8,0.001261,0.003306
22,1,False,0,0,,
23,1,True,35,8,0.00114,0.003215
24,1,True,192,8,0.000965,0.019102
25,1,True,192,8,0.001105,0.018426
26,1,True,72,8,0.001223,0.006825
27,1,True,32,8,0.001091,0.002474
28,1,True,21,8,0.00133,0.001755
29,1,True,160,8,0.001034,0.012694
30,1,True,128,8,0.001147,0.011298
31,1,True,120,8,0.001077,0.00916
32,1,False,0,0,,
33,1,True,112,8,0.001127,0.00939
34,1,True,112,8,0.000971,0.008508
35,1,True,144,8,0.001093,0.013011
36,1,True,144,8,0.001714,0.013335
37,1,False,0,0,,
38,1,True,144,8,0.00161,0.025481
39,1,True,68,8,0.001337,0.005526
40,1,True,76,8,0.001641,0.00715
41,1,True,120,8,0.001507,0.011977
42,1,True,160,8,0.001319,0.022635
43,1,True,110,8,0.001125,0.008532
44,1,False,0,0,,
45,1,True,96,8,0.001085,0.008034
46,1,False,0,0,,
47,1,False,0,0,,
48,1,True,68,8,0.000899,0.004873
49,1,True,68,8,0.00095,0.00551
50,1,True,256,8,0.000947,0.02472
51,1,False,0,0,,
52,1,True,192,8,0.002808,0.030585
53,1,True,31,8,0.001212,0.002388
54,1,True,192,8,0.000972,0.016871
55,1,True,192,8,0.001399,0.016971
56,1,True,110,8,0.00125,0.00859
57,1,True,72,8,0.001126,0.005902
58,1,True,80,8,0.001008,0.006229
59,1,True,68,8,0.001165,0.005095
60,1,True,72,8,0.000919,0.005461
61,1,True,256,8,0.000829,0.024329
62,1,True,32,8,0.001119,0.00293
63,1,True,120,8,0.00089,0.008475
64,1,False,0,0,,
65,1,False,0,0,,
66,1,True,42,8,0.000991,0.003333
67,1,True,76,8,0.000855,0.005434
68,1,True,46,8,0.001292,0.003661
69,1,True,192,8,0.000876,0.017678
70,1,True,112,8,0.001025,0.009267
71,1,True,112,8,0.001027,0.009316
72,1,False,0,0,,
73,1,True,120,8,0.000949,0.009796
74,1,True,46,8,0.000952,0.003431
75,1,True,120,8,0.000859,0.010874
76,1,True,128,8,0.000999,0.010342
77,1,True,128,8,0.001125,0.010664
78,1,True,144,8,0.000907,0.011718
79,1,True,60,8,0.00095,0.004745
80,1,False,0,0,,
81,1,False,0,0,,
82,1,False,0,0,,
83,1,True,96,8,0.001002,0.007717
84,1,True,256,8,0.000837,0.024211
85,1,True,256,8,0.000955,0.023781
86,1,True,72,8,0.001061,0.005504
87,1,True,42,8,0.000931,0.003585
88,1,True,256,8,0.000935,0.025499
89,1,True,55,8,0.001235,0.004394
90,1,True,60,8,0.000977,0.004526
91,1,False,0,0,,
92,1,True,96,8,0.001111,0.008078
93,1,True,49,8,0.00102,0.003663
94,1,True,72,8,0.00141,0.005368
95,1,True,160,8,0.025395,0.013566
96,1,True,72,8,0.001322,0.005643
97,1,True,96,8,0.001023,0.007529
98,1,False,0,0,,
99,1,False,0,0,,
100,1,True,96,8,0.001005,0.008122
