topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,36,3,0.15838,0.003118
2,1,True,198,4,0.001371,0.01207
3,1,True,81,4,0.001577,0.005703
4,1,True,486,4,0.000899,0.04052
5,1,True,1620,4,0.012301,0.319097
6,1,True,468,4,0.001525,0.039981
7,1,True,382,4,0.001417,0.034159
8,1,True,43,4,0.001569,0.002413
9,1,True,205,4,0.001347,0.014981
10,1,True,468,4,0.001693,0.041775
11,1,True,319,4,0.001426,0.02582
12,1,True,245,4,0.00128,0.02008
13,1,True,980,4,0.001113,0.144711
14,1,True,275,4,0.001235,0.020795
15,1,True,308,4,0.001558,0.023003
16,1,True,23,4,0.001146,0.001382
17,1,True,22,4,0.001208,0.001407
18,1,True,142,4,0.001066,0.008812
19,1,True,2445,4,0.001039,0.659711
20,1,True,19,4,0.001575,0.001118
21,1,True,90,4,0.000893,0.004506
22,1,True,29,4,0.003627,0.001623
23,1,True,456,4,0.000869,0.03576
24,1,True,57,4,0.000843,0.002633
25,1,True,873,4,0.001448,0.106054
26,1,True,140,4,0.001118,0.00917
27,1,True,654,4,0.001505,0.068788
28,1,True,704,4,0.000882,0.070669
29,1,True,57,4,0.000933,0.002758
30,1,True,108,4,0.001069,0.006844
31,1,True,108,4,0.001765,0.006372
32,1,True,8,4,0.001397,0.000582
33,1,True,123,4,0.001437,0.006974
34,1,True,1632,4,0.001408,0.33364
35,1,True,22,4,0.001786,0.001163
36,1,True,210,4,0.00125,0.016064
37,1,True,112,4,0.001211,0.00714
38,1,True,195,4,0.001007,0.014004
39,1,True,317,4,0.001524,0.02277
40,1,True,22,4,0.001716,0.001195
41,1,True,53,4,0.001279,0.003228
42,1,True,14,4,0.001597,0.000849
43,1,True,414,4,0.001491,0.039406
44,1,True,750,4,0.002098,0.090591
45,1,True,97,4,0.001174,0.006262
46,1,True,95,4,0.001259,0.006643
47,1,True,28,4,0.001597,0.001655
48,1,True,303,4,0.001543,0.023583
49,1,True,313,4,0.001122,0.021821
50,1,True,90,4,0.000874,0.004686
51,1,True,227,4,0.001491,0.015016
52,1,True,410,4,0.001465,0.03292
53,1,True,21,4,0.001031,0.001276
54,1,True,297,4,0.001728,0.021467
55,1,True,704,4,0.001096,0.095929
56,1,True,232,4,0.001139,0.017983
57,1,True,198,4,0.001072,0.01362
58,1,True,55,4,0.00155,0.00309
59,1,True,63,4,0.000975,0.003079
60,1,True,408,4,0.000717,0.03209
61,1,True,4,1,0.000994,0.000301
62,1,True,20,4,0.00162,0.00119
63,1,True,1086,4,0.001073,0.177123
64,1,True,243,4,0.001054,0.016867
65,1,True,115,4,0.001519,0.006839
66,1,True,57,4,0.001512,0.003014
67,1,True,59,4,0.002862,0.002956
68,1,True,28,4,0.001025,0.001964
69,1,True,28,4,0.00159,0.001618
70,1,True,70,4,0.001099,0.003968
71,1,True,456,4,0.001481,0.038206
72,1,True,248,4,0.001042,0.017796
73,1,True,72,4,0.001207,0.004507
74,1,True,22,4,0.001046,0.00136
75,1,True,87,4,0.001766,0.005027
76,1,True,253,4,0.001167,0.016755
77,1,True,256,4,0.001769,0.017468
78,1,True,876,4,0.001233,0.124643
79,1,True,94,4,0.001502,0.00531
80,1,True,57,4,0.001805,0.00293
81,1,True,783,4,0.001446,0.091927
82,1,True,162,4,0.001568,0.010445
83,1,True,92,4,0.001515,0.005406
84,1,True,59,4,0.001142,0.003435
85,1,True,248,4,0.001161,0.017393
86,1,True,17,4,0.001462,0.001096
87,1,True,143,4,0.001455,0.008511
88,1,True,59,4,0.001837,0.002925
89,1,True,22,4,0.001561,0.001235
90,1,False,0,0,0.002084,
91,1,True,23,4,0.001817,0.001327
92,1,True,234,4,0.001111,0.015432
93,1,True,246,4,0.001146,0.017858
94,1,True,672,4,0.001457,0.068719
95,1,True,4096,4,0.001163,1.834496
96,1,True,1086,4,0.001554,0.183922
97,1,True,46,4,0.001778,0.00235
98,1,True,226,4,0.001241,0.01708
99,1,True,28,4,0.001251,0.001515
100,1,True,67,4,0.001083,0.003986
