topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,640,12,0.124004,0.141756
2,1,False,0,0,,
3,1,True,570,12,0.002558,0.107719
4,1,True,392,12,0.002466,0.067262
5,1,True,580,12,0.002252,0.103842
6,1,False,0,0,,
7,1,True,488,12,0.001972,0.092858
8,1,True,200,12,0.002582,0.032211
9,1,True,546,12,0.001999,0.101537
10,1,False,0,0,,
11,1,True,728,12,0.002195,0.155416
12,1,True,147,12,0.002454,0.021207
13,1,True,588,12,0.002335,0.115051
14,1,True,450,12,0.002134,0.083377
15,1,False,0,0,,
16,1,True,624,12,0.001998,0.130108
17,1,False,0,0,,
18,1,False,0,0,,
19,1,True,452,12,0.002496,0.084145
20,1,True,928,12,0.002044,0.236324
21,1,True,888,12,0.002003,0.198834
22,1,True,524,12,0.002153,0.105255
23,1,True,130,12,0.00255,0.019915
24,1,True,720,12,0.002086,0.157431
25,1,True,1248,12,0.002055,0.371585
26,1,True,508,12,0.00266,0.099201
27,1,True,424,12,0.002761,0.080851
28,1,True,190,12,0.002338,0.029688
29,1,False,0,0,,
30,1,True,590,12,0.001981,0.113638
31,1,True,564,12,0.0023,0.115669
32,1,True,420,12,0.002032,0.072811
33,1,False,0,0,,
34,1,True,444,12,0.006141,0.086182
35,1,True,448,12,0.002086,0.083887
36,1,True,1036,12,0.0027,0.249203
37,1,True,306,12,0.002387,0.05403
38,1,False,0,0,,
39,1,False,0,0,,
40,1,True,852,12,0.001822,0.184615
41,1,True,384,12,0.00231,0.064141
42,1,True,240,12,0.002707,0.038939
43,1,True,286,12,0.002422,0.045154
44,1,True,390,12,0.002097,0.059338
45,1,True,344,12,0.0019,0.058017
46,1,True,598,12,0.002324,0.121321
47,1,True,290,12,0.002247,0.051649
48,1,True,344,12,0.002547,0.065914
49,1,True,404,12,0.002441,0.083845
50,1,True,472,12,0.002334,0.102232
51,1,True,194,12,0.002781,0.035401
52,1,False,0,0,,
53,1,True,372,12,0.002699,0.062893
54,1,True,588,12,0.002557,0.126212
55,1,True,736,12,0.002433,0.163533
56,1,True,225,12,0.002976,0.038485
57,1,True,488,12,0.002334,0.089759
58,1,True,351,12,0.002442,0.056418
59,1,False,0,0,,
60,1,True,274,12,0.002093,0.043864
61,1,False,0,0,,
62,1,True,816,12,0.002062,0.199778
63,1,True,327,12,0.00274,0.053303
64,1,True,264,12,0.002086,0.041139
65,1,True,876,12,0.002307,0.227099
66,1,True,378,12,0.002629,0.069302
67,1,True,936,12,0.002221,0.260824
68,1,True,296,12,0.002264,0.051775
69,1,True,480,12,0.002432,0.092397
70,1,False,0,0,,
71,1,False,0,0,,
72,1,True,1184,12,0.002057,0.368546
73,1,True,548,12,0.002354,0.117864
74,1,True,372,12,0.002467,0.064826
75,1,True,201,12,0.002481,0.033452
76,1,False,0,0,,
77,1,True,344,12,0.002284,0.059192
78,1,True,302,12,0.00201,0.043803
79,1,True,336,12,0.001906,0.053305
80,1,True,880,12,0.002242,0.212262
81,1,False,0,0,,
82,1,True,322,12,0.002156,0.052115
83,1,False,0,0,,
84,1,True,318,12,0.002111,0.051105
85,1,True,280,12,0.001906,0.04338
86,1,True,840,12,0.002363,0.194003
87,1,False,0,0,,
88,1,False,0,0,,
89,1,False,0,0,,
90,1,True,390,12,0.002158,0.064517
91,1,False,0,0,,
92,1,True,219,12,0.002161,0.033594
93,1,True,262,12,0.002883,0.041077
94,1,True,1056,12,0.002285,0.280826
95,1,False,0,0,,
96,1,False,0,0,,
97,1,True,380,12,0.002392,0.066118
98,1,True,270,12,0.002614,0.044752
99,1,True,201,12,0.00232,0.0322
100,1,False,0,0,,
