topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,47,3,0.127233,0.001887
2,1,True,15,3,0.007691,0.000744
3,1,True,14,3,0.000956,0.000598
4,1,True,15,3,0.000933,0.000727
5,1,True,61,3,0.003035,0.002418
6,1,True,88,3,0.000818,0.003437
7,1,True,196,3,0.00131,0.009366
8,1,True,35,3,0.000928,0.001566
9,1,False,0,0,,
10,1,True,44,3,0.001465,0.001899
11,1,True,80,3,0.001487,0.003492
12,1,True,222,3,0.000845,0.010676
13,1,True,42,3,0.00087,0.00161
14,1,False,0,0,0.000942,
15,1,True,39,3,0.000897,0.001744
16,1,True,12,3,0.001514,0.000561
17,1,True,120,3,0.00079,0.005587
18,1,True,14,2,0.001172,0.001064
19,1,True,196,3,0.000822,0.010164
20,1,True,13,3,0.000808,0.000588
21,1,True,15,2,0.0009,0.000982
22,1,True,99,3,0.001123,0.003598
23,1,True,65,3,0.000875,0.002551
24,1,True,72,3,0.00136,0.003154
25,1,True,12,3,0.000838,0.000517
26,1,True,53,3,0.000697,0.001894
27,1,True,42,3,0.001226,0.001868
28,1,True,23,3,0.000741,0.000921
29,1,True,204,3,0.000547,0.010608
30,1,True,80,3,0.000796,0.002997
31,1,True,80,3,0.000926,0.003734
32,1,True,140,3,0.000919,0.006787
33,1,True,17,3,0.00094,0.000995
34,1,True,19,3,0.000753,0.000899
35,1,True,50,3,0.001135,0.002063
36,1,True,82,3,0.000675,0.003491
37,1,True,72,3,0.000754,0.002788
38,1,True,193,3,0.00094,0.00973
39,1,True,17,3,0.000857,0.000656
40,1,True,54,3,0.000696,0.001898
41,1,True,42,3,0.000758,0.001571
42,1,True,120,3,0.000546,0.004885
43,1,True,729,3,0.000565,0.065901
44,1,True,729,3,0.000793,0.063024
45,1,True,65,3,0.00122,0.002754
46,1,True,14,3,0.000655,0.000538
47,1,True,41,3,0.000535,0.001669
48,1,True,20,3,0.000826,0.000794
49,1,True,15,3,0.000618,0.000609
50,1,True,231,3,0.000573,0.010434
51,1,True,57,3,0.000738,0.002232
52,1,True,6,3,0.000673,0.000336
53,1,True,85,3,0.00109,0.003711
54,1,True,222,3,0.00063,0.010816
55,1,True,12,2,0.000622,0.000526
56,1,True,18,3,0.000656,0.001184
57,1,True,22,3,0.000637,0.000844
58,1,True,51,3,0.001028,0.002237
59,1,True,117,3,0.000529,0.005079
60,1,True,5,3,0.001053,0.000293
61,1,True,100,3,0.000558,0.004038
62,1,True,17,3,0.000604,0.000657
63,1,True,76,3,0.000587,0.002894
64,1,True,88,3,0.000519,0.003252
65,1,True,288,3,0.000827,0.016115
66,1,True,14,3,0.00067,0.000566
67,1,True,41,3,0.000892,0.001519
68,1,True,90,3,0.000524,0.025408
69,1,True,36,3,0.001047,0.001286
70,1,True,188,3,0.000721,0.009418
71,1,True,88,3,0.00065,0.003232
72,1,True,54,3,0.000587,0.002002
73,1,True,8,2,0.001537,0.000455
74,1,True,512,3,0.000647,0.038778
75,1,True,54,3,0.000761,0.001945
76,1,True,18,3,0.000869,0.00075
77,1,True,33,3,0.000696,0.001195
78,1,True,140,3,0.000742,0.006624
79,1,True,37,3,0.0008,0.001711
80,1,True,19,3,0.000699,0.000892
81,1,True,24,3,0.000627,0.000912
82,1,True,12,3,0.000584,0.000494
83,1,True,59,3,0.000599,0.002389
84,1,True,44,3,0.000828,0.001675
85,1,False,0,0,,
86,1,True,140,3,0.000614,0.005854
87,1,True,17,3,0.000599,0.000685
88,1,True,50,3,0.000627,0.001896
89,1,True,43,3,0.001298,0.001884
90,1,True,128,3,0.000624,0.005714
91,1,True,82,3,0.000645,0.003183
92,1,True,45,3,0.000546,0.00161
93,1,True,51,3,0.000746,0.001957
94,1,True,16,3,0.000602,0.000632
95,1,False,0,0,0.000596,
96,1,True,204,3,0.000718,0.010917
97,1,True,5,3,0.001454,0.000299
98,1,True,20,3,0.000537,0.000777
99,1,True,53,3,0.001034,0.00218
100,1,True,4,3,0.000701,0.000271
