topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,16,2,0.117578,0.000926
2,1,True,11,2,0.01044,0.000604
3,1,True,11,2,0.001016,0.000527
4,1,True,3,2,0.001316,0.000206
5,1,True,11,2,0.000721,0.000398
6,1,True,16,2,0.000591,0.000487
7,1,True,49,2,0.000667,0.001553
8,1,True,11,2,0.000762,0.000424
9,1,True,8,2,0.007414,0.000403
10,1,True,10,2,0.001158,0.000454
11,1,True,13,2,0.002162,0.000523
12,1,True,28,2,0.000715,0.000977
13,1,True,10,2,0.000597,0.00043
14,1,True,3,2,0.000952,0.000235
15,1,True,10,2,0.001216,0.000373
16,1,True,3,2,0.000973,0.000177
17,1,True,36,2,0.000662,0.001224
18,1,True,12,2,0.000908,0.000459
19,1,True,28,2,0.000576,0.000908
20,1,True,3,2,0.001035,0.000243
21,1,True,11,2,0.000871,0.000409
22,1,True,3,2,0.000512,0.000204
23,1,True,9,2,0.001243,0.000425
24,1,True,5,2,0.000922,0.000253
25,1,True,10,2,0.000859,0.000446
26,1,True,9,2,0.000568,0.000369
27,1,True,36,2,0.0006,0.001331
28,1,True,10,2,0.000759,0.000395
29,1,True,36,2,0.000598,0.001163
30,1,True,49,2,0.000657,0.001487
31,1,True,10,2,0.001573,0.000505
32,1,True,28,2,0.000632,0.001076
33,1,True,11,2,0.000624,0.000494
34,1,True,11,2,0.000651,0.000408
35,1,True,8,2,0.000889,0.000334
36,1,True,10,2,0.000876,0.00037
37,1,True,10,2,0.000579,0.00039
38,1,True,10,2,0.000628,0.000349
39,1,True,28,2,0.000555,0.000928
40,1,True,7,2,0.000619,0.000292
41,1,True,28,2,0.000577,0.000917
42,1,True,6,2,0.000755,0.000318
43,1,True,81,2,0.002773,0.002823
44,1,True,81,2,0.002393,0.012747
45,1,True,9,2,0.001942,0.000841
46,1,True,12,2,0.001379,0.000524
47,1,True,28,2,0.00087,0.001129
48,1,True,3,2,0.002704,0.000615
49,1,True,3,2,0.001184,0.000188
50,1,True,49,2,0.000787,0.001565
51,1,True,11,2,0.000966,0.000425
52,1,True,3,2,0.000826,0.000172
53,1,True,28,2,0.000757,0.001114
54,1,True,10,2,0.000676,0.000399
55,1,True,28,2,0.00062,0.00097
56,1,True,10,2,0.001041,0.000427
57,1,True,3,2,0.000965,0.00018
58,1,True,36,2,0.000606,0.001215
59,1,True,13,2,0.000647,0.000466
60,1,True,28,2,0.000649,0.00101
61,1,True,10,2,0.000838,0.000344
62,1,True,8,2,0.000799,0.000331
63,1,True,11,2,0.00071,0.000388
64,1,True,11,2,0.000923,0.00042
65,1,True,36,2,0.000649,0.001259
66,1,True,3,2,0.000927,0.000203
67,1,True,36,2,0.000792,0.001271
68,1,True,18,2,0.000613,0.000613
69,1,True,3,2,0.000912,0.000231
70,1,True,28,2,0.000576,0.00094
71,1,True,49,2,0.000603,0.00143
72,1,True,12,2,0.000936,0.000414
73,1,True,3,2,0.000627,0.000171
74,1,True,3,2,0.000879,0.000184
75,1,True,11,2,0.001433,0.000471
76,1,True,6,2,0.000887,0.000289
77,1,True,64,2,0.001021,0.001936
78,1,True,28,2,0.000703,0.000999
79,1,True,9,2,0.000668,0.000357
80,1,True,6,2,0.000575,0.000329
81,1,True,64,2,0.000713,0.001801
82,1,True,10,2,0.000605,0.000397
83,1,True,45,2,0.000726,0.001674
84,1,True,36,2,0.000622,0.001446
85,1,True,11,2,0.000643,0.000408
86,1,True,28,2,0.000639,0.000925
87,1,True,11,2,0.000979,0.000411
88,1,True,3,2,0.001126,0.00022
89,1,True,10,2,0.000632,0.000384
90,1,True,3,2,0.000701,0.00019
91,1,True,28,2,0.000738,0.000959
92,1,True,28,2,0.000606,0.000914
93,1,True,28,2,0.000575,0.000851
94,1,True,3,2,0.000873,0.000238
95,1,True,3,2,0.000572,0.000176
96,1,True,3,2,0.000853,0.000161
97,1,True,3,2,0.000957,0.000187
98,1,True,10,2,0.00076,0.000375
99,1,True,13,2,0.001014,0.000541
100,1,True,3,2,0.000941,0.000173
