topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,6,3,0.132303,0.000477
2,1,True,4,3,0.005262,0.000406
3,1,True,4,3,0.001024,0.000245
4,1,False,0,0,,
5,1,True,5,3,0.0009,0.000359
6,1,True,6,3,0.000692,0.000285
7,1,True,4,3,0.001228,0.000247
8,1,True,6,3,0.001335,0.001262
9,1,True,4,3,0.001579,0.000596
10,1,True,4,3,0.001864,0.000267
11,1,True,6,3,0.001083,0.000476
12,1,True,8,3,0.001502,0.000818
13,1,True,6,3,0.001418,0.000895
14,1,True,6,3,0.001049,0.000321
15,1,True,8,3,0.000868,0.000366
16,1,True,4,3,0.001605,0.000326
17,1,True,4,3,0.001032,0.000264
18,1,True,6,3,0.000968,0.000678
19,1,True,6,3,0.000843,0.000296
20,1,True,4,3,0.000587,0.000231
21,1,True,4,3,0.00061,0.000252
22,1,True,6,3,0.001165,0.000303
23,1,True,6,3,0.000891,0.000268
24,1,True,6,3,0.000607,0.000309
25,1,True,6,3,0.000631,0.000272
26,1,True,6,3,0.000624,0.000289
27,1,True,8,3,0.001165,0.000527
28,1,True,4,3,0.00069,0.000223
29,1,True,5,3,0.000609,0.000267
30,1,True,4,3,0.000748,0.000238
31,1,True,5,3,0.000532,0.000242
32,1,True,4,3,0.000528,0.000191
33,1,False,0,0,,
34,1,True,4,3,0.000698,0.000237
35,1,True,6,3,0.000574,0.000294
36,1,True,6,3,0.000746,0.000331
37,1,True,5,3,0.00079,0.000271
38,1,True,6,3,0.004601,0.000376
39,1,True,6,3,0.001035,0.000285
40,1,False,0,0,,
41,1,True,4,3,0.000882,0.000235
42,1,False,0,0,,
43,1,True,4,3,0.000614,0.000227
44,1,True,4,3,0.001234,0.00028
45,1,True,4,3,0.000928,0.000242
46,1,True,6,3,0.000547,0.000341
47,1,True,4,3,0.000657,0.000219
48,1,True,6,3,0.00068,0.000279
49,1,True,8,3,0.000555,0.000324
50,1,True,6,3,0.000783,0.000293
51,1,True,5,3,0.000641,0.000253
52,1,True,6,3,0.00063,0.000326
53,1,True,5,3,0.000804,0.000275
54,1,True,6,3,0.000886,0.000275
55,1,True,6,3,0.000845,0.000318
56,1,True,4,3,0.000599,0.000206
57,1,True,4,3,0.00061,0.00023
58,1,True,6,3,0.000582,0.000307
59,1,True,5,3,0.000908,0.000269
60,1,True,5,3,0.000654,0.00027
61,1,True,6,3,0.000606,0.000291
62,1,True,6,3,0.000676,0.000282
63,1,True,8,3,0.000551,0.000388
64,1,True,6,3,0.000597,0.00028
65,1,True,6,3,0.000646,0.000287
66,1,True,6,3,0.000524,0.000271
67,1,True,4,3,0.000527,0.000205
68,1,True,6,3,0.000587,0.000285
69,1,True,6,3,0.0005,0.000266
70,1,True,4,3,0.000535,0.000216
71,1,True,6,3,0.000612,0.000275
72,1,True,6,3,0.000491,0.000272
73,1,True,6,3,0.000505,0.00024
74,1,True,4,3,0.000631,0.00022
75,1,True,4,3,0.000664,0.000223
76,1,True,8,3,0.000546,0.000317
77,1,True,4,3,0.000584,0.000222
78,1,True,8,3,0.000506,0.000334
79,1,True,4,3,0.000506,0.000205
80,1,True,4,3,0.000551,0.00022
81,1,True,6,3,0.000517,0.000263
82,1,True,4,3,0.000592,0.000212
83,1,True,4,3,0.000642,0.00023
84,1,True,6,3,0.000527,0.000301
85,1,True,4,3,0.000651,0.000222
86,1,True,5,3,0.00053,0.000231
87,1,True,6,3,0.000599,0.000301
88,1,True,8,3,0.000538,0.000344
89,1,True,4,3,0.000582,0.000223
90,1,True,6,3,0.000479,0.000272
91,1,True,4,3,0.000678,0.00023
92,1,True,4,3,0.000571,0.000228
93,1,True,4,3,0.000507,0.000211
94,1,True,8,3,0.000531,0.000364
95,1,True,4,3,0.000575,0.000229
96,1,True,4,3,0.000479,0.000215
97,1,True,5,3,0.000671,0.000258
98,1,True,6,3,0.000512,0.000272
99,1,True,6,3,0.000476,0.000253
100,1,True,5,3,0.000499,0.000222
