topology,trial,attack_success,found_num_vectors,true_weights_matched,step1_time,step2_time
1,1,True,10,4,0.126546,0.000751
2,1,True,8,4,0.001362,0.00076
3,1,True,7,4,0.00142,0.000561
4,1,True,9,4,0.001207,0.000629
5,1,True,7,4,0.001152,0.000452
6,1,True,9,4,0.00087,0.000512
7,1,True,8,4,0.001064,0.000608
8,1,True,12,4,0.003337,0.000728
9,1,True,9,4,0.001016,0.000546
10,1,True,10,4,0.000743,0.000494
11,1,True,7,4,0.000806,0.000504
12,1,True,8,4,0.046462,0.00198
13,1,True,9,4,0.001291,0.000561
14,1,True,7,4,0.001237,0.000556
15,1,True,7,4,0.001078,0.000552
16,1,True,7,4,0.000966,0.000433
17,1,True,6,4,0.001088,0.000517
18,1,True,16,4,0.001327,0.00086
19,1,True,9,4,0.000989,0.000689
20,1,True,8,4,0.000831,0.000639
21,1,True,8,4,0.000815,0.000508
22,1,True,8,4,0.001364,0.000858
23,1,True,7,4,0.00086,0.000456
24,1,True,6,4,0.000791,0.000419
25,1,True,8,4,0.000814,0.000569
26,1,True,8,4,0.000765,0.0005
27,1,True,9,4,0.000727,0.000659
28,1,True,9,4,0.000794,0.000922
29,1,True,10,4,0.001685,0.000632
30,1,True,10,4,0.000923,0.000744
31,1,True,9,4,0.000787,0.000551
32,1,True,7,4,0.000725,0.000643
33,1,True,8,4,0.00105,0.000583
34,1,True,12,4,0.00104,0.000612
35,1,True,12,4,0.000668,0.00056
36,1,True,8,4,0.000973,0.000554
37,1,True,9,4,0.000997,0.000684
38,1,True,6,4,0.000983,0.000497
39,1,True,7,4,0.001365,0.000456
40,1,True,5,4,0.000848,0.000384
41,1,True,6,4,0.0009,0.000455
42,1,True,8,4,0.000848,0.000537
43,1,True,9,4,0.00073,0.000469
44,1,True,9,4,0.000768,0.000519
45,1,True,10,4,0.000915,0.000562
46,1,True,6,4,0.001421,0.000406
47,1,True,7,4,0.00129,0.000589
48,1,True,8,4,0.001792,0.000484
49,1,True,8,4,0.001307,0.000631
50,1,True,7,4,0.000843,0.000394
51,1,True,7,4,0.000944,0.000418
52,1,True,10,4,0.000838,0.000772
53,1,True,6,4,0.000915,0.000416
54,1,True,12,4,0.001323,0.000698
55,1,True,7,4,0.001317,0.000534
56,1,True,10,4,0.000935,0.000633
57,1,True,7,4,0.000971,0.000464
58,1,True,8,4,0.000773,0.000518
59,1,True,5,4,0.000969,0.000418
60,1,True,8,4,0.000716,0.000598
61,1,True,6,4,0.001304,0.000409
62,1,True,7,4,0.000843,0.000562
63,1,True,9,4,0.000874,0.000472
64,1,True,9,4,0.00078,0.00073
65,1,True,9,4,0.000784,0.000541
66,1,True,5,4,0.00098,0.000559
67,1,True,7,4,0.001189,0.000457
68,1,True,8,4,0.0008,0.000526
69,1,True,12,4,0.00108,0.000709
70,1,True,10,4,0.001048,0.000563
71,1,True,7,4,0.000814,0.000458
72,1,True,8,4,0.001013,0.000867
73,1,True,7,4,0.001038,0.000561
74,1,True,7,4,0.001088,0.000502
75,1,True,7,4,0.00089,0.000459
76,1,True,7,4,0.000746,0.00039
77,1,True,8,4,0.000788,0.000607
78,1,True,9,4,0.001046,0.000593
79,1,True,8,4,0.000797,0.000613
80,1,True,6,4,0.000882,0.000388
81,1,True,8,4,0.001079,0.000542
82,1,True,8,4,0.000846,0.000541
83,1,True,5,4,0.001646,0.000431
84,1,True,8,4,0.00301,0.000866
85,1,True,10,4,0.001058,0.000643
86,1,True,9,4,0.000936,0.000524
87,1,True,7,4,0.001485,0.000624
88,1,True,9,4,0.000799,0.000483
89,1,True,6,4,0.001394,0.000691
90,1,True,6,4,0.000903,0.000531
91,1,True,8,4,0.001028,0.000594
92,1,True,10,4,0.001106,0.000721
93,1,True,5,4,0.001149,0.000365
94,1,True,8,4,0.000845,0.000515
95,1,True,8,4,0.000801,0.000497
96,1,True,6,4,0.000932,0.000344
97,1,True,10,4,0.000588,0.000538
98,1,True,8,4,0.001316,0.000489
99,1,True,7,4,0.001072,0.000521
100,1,True,6,4,0.001433,0.000644
