num_nodes,mean_degree,topology,eligible_cores,median_core_honest_size,p90_core_honest_size,tractable_core_fraction,hssp_rank_feasible_fraction,hlcp_rank_feasible_fraction
100,4,er,721,10.0,37.0,0.5104022191400832,0.8058252427184466,0.811373092926491
100,4,ring,2571,3.0,9.0,0.9245429793854532,0.8059120964605212,0.8059120964605212
100,4,scale_free,656,15.0,36.0,0.4725609756097561,0.6021341463414634,0.6051829268292683
100,4,small_world,1612,3.0,19.0,0.8244416873449132,0.825062034739454,0.8281637717121588
200,4,er,1080,3.0,67.0,0.6277777777777778,0.8416666666666667,0.8425925925925926
200,4,ring,5028,3.0,10.0,0.9178599840891011,0.80648369132856,0.80648369132856
200,4,scale_free,760,16.0,70.0,0.43026315789473685,0.5828947368421052,0.5828947368421052
200,4,small_world,2940,3.0,17.0,0.8591836734693877,0.8414965986394558,0.8445578231292517
