num_nodes,mean_degree,corrupt_ratio,topology,metric,trials,alternative_mean,er_mean,paired_mean_difference,ci_low,ci_high,equivalence_margin,equivalent_within_margin,direction
100,4,0.1,ring,direct_recovery_rate,100,0.0,0.006888888888888889,-0.006888888888888889,-0.008777777777777778,-0.005222222222222222,0.05,True,lower_than_er
100,4,0.1,ring,hssp_eligible_rate,100,0.00044444444444444447,0.0,0.00044444444444444447,0.0,0.0013333333333333333,0.05,True,overlaps_er
100,4,0.1,ring,hssp_rank_attackable_rate,100,0.00044444444444444447,0.006888888888888889,-0.006444444444444444,-0.008444444444444444,-0.004333333333333333,0.05,True,lower_than_er
100,4,0.1,ring,hlcp_rank_attackable_rate,100,0.00044444444444444447,0.006888888888888889,-0.006444444444444444,-0.008555555555555556,-0.004333333333333333,0.05,True,lower_than_er
100,4,0.1,ring,hssp_tractable_attackable_rate,100,0.00044444444444444447,0.006888888888888889,-0.006444444444444444,-0.008555555555555556,-0.004552777777777793,0.05,True,lower_than_er
100,4,0.1,ring,max_core_fraction,100,0.00022222222222222223,0.0,0.00022222222222222223,0.0,0.0006666666666666666,0.05,True,overlaps_er
100,4,0.2,ring,direct_recovery_rate,100,0.0,0.013499999999999998,-0.013499999999999998,-0.015875,-0.011374999999999998,0.05,True,lower_than_er
100,4,0.2,ring,hssp_eligible_rate,100,0.00525,0.0005,0.00475,0.0016218749999999998,0.0085,0.05,True,higher_than_er
100,4,0.2,ring,hssp_rank_attackable_rate,100,0.004375,0.014000000000000002,-0.009625000000000002,-0.013378125000000001,-0.005874999999999999,0.05,True,lower_than_er
100,4,0.2,ring,hlcp_rank_attackable_rate,100,0.004375,0.014000000000000002,-0.009625000000000002,-0.013375,-0.005874999999999998,0.05,True,lower_than_er
100,4,0.2,ring,hssp_tractable_attackable_rate,100,0.004375,0.014000000000000002,-0.009625000000000002,-0.013499999999999998,-0.00575,0.05,True,lower_than_er
100,4,0.2,ring,max_core_fraction,100,0.004,0.0005,0.0034999999999999996,0.001125,0.006500000000000001,0.05,True,higher_than_er
100,4,0.3,ring,direct_recovery_rate,100,0.0,0.021571428571428575,-0.021571428571428575,-0.024857142857142852,-0.018571428571428572,0.05,True,lower_than_er
100,4,0.3,ring,hssp_eligible_rate,100,0.040142857142857154,0.0037142857142857142,0.03642857142857143,0.02628214285714285,0.04757142857142856,0.05,True,higher_than_er
100,4,0.3,ring,hssp_rank_attackable_rate,100,0.019857142857142858,0.025285714285714286,-0.005428571428571429,-0.01242857142857143,0.001999999999999999,0.05,True,overlaps_er
100,4,0.3,ring,hlcp_rank_attackable_rate,100,0.019857142857142858,0.025285714285714286,-0.005428571428571429,-0.012999999999999998,0.001857142857142856,0.05,True,overlaps_er
100,4,0.3,ring,hssp_tractable_attackable_rate,100,0.019857142857142858,0.025285714285714286,-0.005428571428571429,-0.012428571428571426,0.0021464285714285518,0.05,True,overlaps_er
100,4,0.3,ring,max_core_fraction,100,0.029857142857142856,0.0034285714285714284,0.026428571428571433,0.018428571428571426,0.03514285714285714,0.05,True,higher_than_er
100,4,0.4,ring,direct_recovery_rate,100,0.0005,0.03166666666666666,-0.031166666666666662,-0.0355,-0.026999999999999993,0.05,True,lower_than_er
100,4,0.4,ring,hssp_eligible_rate,100,0.1545,0.005666666666666666,0.14883333333333335,0.1255,0.17183749999999998,0.05,False,higher_than_er
100,4,0.4,ring,hssp_rank_attackable_rate,100,0.0555,0.03733333333333333,0.01816666666666667,0.005666666666666669,0.0315,0.05,True,higher_than_er
