num_nodes,mean_degree,topology,corrupt_ratio,direct_recovery_rate_mean,direct_recovery_rate_ci_low,direct_recovery_rate_ci_high,hssp_eligible_rate_mean,hssp_eligible_rate_ci_low,hssp_eligible_rate_ci_high,structural_attackable_rate_mean,structural_attackable_rate_ci_low,structural_attackable_rate_ci_high,hssp_rank_attackable_rate_mean,hssp_rank_attackable_rate_ci_low,hssp_rank_attackable_rate_ci_high,hlcp_rank_attackable_rate_mean,hlcp_rank_attackable_rate_ci_low,hlcp_rank_attackable_rate_ci_high,hssp_tractable_attackable_rate_mean,hssp_tractable_attackable_rate_ci_low,hssp_tractable_attackable_rate_ci_high,hlcp_tractable_attackable_rate_mean,hlcp_tractable_attackable_rate_ci_low,hlcp_tractable_attackable_rate_ci_high,max_core_fraction_mean,max_core_fraction_ci_low,max_core_fraction_ci_high,hssp_feasible_core_probability_mean,hssp_feasible_core_probability_ci_low,hssp_feasible_core_probability_ci_high,hlcp_feasible_core_probability_mean,hlcp_feasible_core_probability_ci_low,hlcp_feasible_core_probability_ci_high,eligible_core_count_mean,eligible_core_count_ci_low,eligible_core_count_ci_high,max_core_honest_size_mean,max_core_honest_size_ci_low,max_core_honest_size_ci_high
100,4,er,0.1,0.006888888888888889,0.005063414470422453,0.008714363307355324,0.0,0.0,0.0,0.006888888888888889,0.005063414470422453,0.008714363307355324,0.006888888888888889,0.005063414470422453,0.008714363307355324,0.006888888888888889,0.005063414470422453,0.008714363307355324,0.006888888888888889,0.005063414470422453,0.008714363307355324,0.006888888888888889,0.005063414470422453,0.008714363307355324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,4,er,0.2,0.013499999999999998,0.011146433181811747,0.01585356681818825,0.0005,-0.0001894559412678198,0.0011894559412678198,0.014000000000000002,0.011605569593891491,0.016394430406108513,0.014000000000000002,0.011605569593891491,0.016394430406108513,0.014000000000000002,0.011605569593891491,0.016394430406108513,0.014000000000000002,0.011605569593891491,0.016394430406108513,0.014000000000000002,0.011605569593891491,0.016394430406108513,0.0005,-0.0001894559412678198,0.0011894559412678198,0.02,-0.007578237650712773,0.04757823765071277,0.02,-0.007578237650712773,0.04757823765071277,0.02,-0.007578237650712773,0.04757823765071277,0.04,-0.015156475301425547,0.09515647530142554
100,4,er,0.3,0.021571428571428575,0.018501730464994252,0.024641126677862897,0.0037142857142857142,0.0015120792908746095,0.005916492137696819,0.025285714285714286,0.021492303731033495,0.029079124840395078,0.025285714285714286,0.021492303731033495,0.029079124840395078,0.025285714285714286,0.021492303731033495,0.029079124840395078,0.025285714285714286,0.021492303731033495,0.029079124840395078,0.025285714285714286,0.021492303731033495,0.029079124840395078,0.0034285714285714284,0.001433928096995074,0.005423214760147782,0.11,0.048364656603896855,0.17163534339610315,0.11,0.048364656603896855,0.17163534339610315,0.12,0.05018748339482758,0.1898125166051724,0.24,0.10037496678965516,0.3796250332103448
100,4,er,0.4,0.03166666666666666,0.02742393603799957,0.03590939729533375,0.005666666666666666,0.0021853170309369704,0.009148016302396362,0.03733333333333333,0.03158796096039668,0.04307870570626998,0.03733333333333333,0.03158796096039668,0.04307870570626998,0.03733333333333333,0.03158796096039668,0.04307870570626998,0.03733333333333333,0.03158796096039668,0.04307870570626998,0.03733333333333333,0.03158796096039668,0.04307870570626998,0.004666666666666667,0.0022062946819801435,0.007127038651353191,0.13,0.06375245687803231,0.19624754312196768,0.13,0.06375245687803231,0.19624754312196768,0.16,0.06878823396827434,0.2512117660317257,0.28,0.1323776809188086,0.4276223190811914
100,4,er,0.5,0.045200000000000004,0.040105066156593705,0.0502949338434063,0.5344,0.460135839807271,0.608664160192729,0.5796000000000001,0.5053005262778132,0.653899473722187,0.06280000000000001,0.045031604423197424,0.08056839557680259,0.07120000000000001,0.04701418111137994,0.09538581888862008,0.0546,0.04817796867782239,0.061022031322177615,0.0546,0.04817796867782239,0.061022031322177615,0.5274,0.4535223037181099,0.60127769628189,0.17,0.09600506705854718,0.24399493294145286,0.18,0.10431990774558765,0.25568009225441235,0.87,0.7403619272783265,0.9996380727216735,26.37,22.6761151859055,30.063884814094504
100,4,er,0.6,0.061750000000000006,0.054631998138167534,0.06886800186183248,0.8532500000000001,0.8393792499092224,0.8671207500907777,0.9149999999999998,0.9043008449309339,0.9256991550690657,0.48275000000000007,0.3995688872751668,0.5659311127248333,0.50125,0.41800570044086555,0.5844942995591345,0.07775,0.06864545684503577,0.08685454315496423,0.07775,0.06864545684503577,0.08685454315496423,0.8357499999999999,0.8207599342323932,0.8507400657676065,0.58,0.4827751871052237,0.6772248128947762,0.6,0.5034962710722031,0.6965037289277969,1.31,1.199634297524873,1.420365702475127,33.43,32.83039736929574,34.02960263070426
100,4,er,0.7,0.08633333333333333,0.0752251139924667,0.09744155267419996,0.8703333333333334,0.8555659911381155,0.8851006755285513,0.9566666666666669,0.9492088436210909,0.9641244897122428,0.7706666666666667,0.7017850136612169,0.8395483196721165,0.779,0.7110232940010064,0.8469767059989937,0.11966666666666667,0.10244118406879682,0.13689214926453652,0.11966666666666667,0.10244118406879682,0.13689214926453652,0.8370000000000002,0.8177015999337293,0.8562984000662711,0.85,0.7796614248686031,0.9203385751313968,0.85,0.7796614248686031,0.9203385751313968,1.39,1.2538219881585468,1.526178011841453,25.11,24.53104799801187,25.688952001988127
100,4,er,0.8,0.154,0.1345650178983121,0.1734349821016879,0.8200000000000002,0.7986470733915122,0.8413529266084881,0.9740000000000001,0.9668322563177142,0.981167743682286,0.9740000000000001,0.9668322563177142,0.981167743682286,0.9740000000000001,0.9668322563177142,0.981167743682286,0.28850000000000003,0.23322308933627667,0.3437769106637234,0.28850000000000003,0.23322308933627667,0.3437769106637234,0.7405000000000002,0.7074878541482478,0.7735121458517525,1.0,1.0,1.0,1.0,1.0,1.0,1.59,1.4397333333333333,1.7402666666666669,14.81,14.149757082964951,15.47024291703505
100,4,er,0.9,0.33199999999999996,0.2931100748420895,0.3708899251579104,0.6559999999999999,0.6164727197643414,0.6955272802356585,0.9880000000000001,0.9815986668055268,0.9944013331944734,0.9880000000000001,0.9815986668055268,0.9944013331944734,0.9880000000000001,0.9815986668055268,0.9944013331944734,0.9880000000000001,0.9815986668055268,0.9944013331944734,0.9880000000000001,0.9815986668055268,0.9944013331944734,0.49200000000000005,0.4471076104175303,0.5368923895824699,0.99,0.9704,1.0096,0.99,0.9704,1.0096,1.75,1.589059958463728,1.910940041536272,4.92,4.471076104175302,5.368923895824698
100,4,ring,0.1,0.0,0.0,0.0,0.00044444444444444447,-0.0004266666666666668,0.0013155555555555557,0.00044444444444444447,-0.0004266666666666668,0.0013155555555555557,0.00044444444444444447,-0.0004266666666666668,0.0013155555555555557,0.00044444444444444447,-0.0004266666666666668,0.0013155555555555557,0.00044444444444444447,-0.0004266666666666668,0.0013155555555555557,0.00044444444444444447,-0.0004266666666666668,0.0013155555555555557,0.00022222222222222223,-0.0002133333333333334,0.0006577777777777779,0.01,-0.009599999999999996,0.029599999999999994,0.01,-0.009599999999999996,0.029599999999999994,0.02,-0.01919999999999999,0.05919999999999999,0.02,-0.01919999999999999,0.05919999999999999
