num_nodes,mean_degree,trial,topology,corrupt_ratio,partition_seed,n_honest,n_corrupt,direct_honest,eligible_honest,unrecoverable_honest,hssp_rank_feasible_honest,hlcp_rank_feasible_honest,eligible_core_count,max_core_honest_size,mean_core_honest_size,direct_recovery_rate,hssp_eligible_rate,structural_attackable_rate,hssp_rank_attackable_rate,hlcp_rank_attackable_rate,hssp_tractable_attackable_rate,hlcp_tractable_attackable_rate,max_core_fraction,hssp_feasible_core_probability,hlcp_feasible_core_probability
100,4,0,ring,0.8,2893921585,20,80,6,14,0,14,14,4,5,3.5,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0.25,1,1
100,4,0,small_world,0.8,2893921585,20,80,2,18,0,18,18,2,15,9.0,0.1,0.9,1.0,1.0,1.0,0.25,0.25,0.75,1,1
100,4,0,scale_free,0.8,2893921585,20,80,1,17,2,17,17,1,17,17.0,0.05,0.85,0.9,0.9,0.9,0.05,0.05,0.85,1,1
100,4,0,er,0.9,2893921585,10,90,2,8,0,8,8,1,8,8.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.8,1,1
100,4,0,ring,0.9,2893921585,10,90,3,7,0,7,7,3,3,2.3333333333333335,0.3,0.7,1.0,1.0,1.0,1.0,1.0,0.3,1,1
100,4,0,small_world,0.9,2893921585,10,90,1,9,0,9,9,4,3,2.25,0.1,0.9,1.0,1.0,1.0,1.0,1.0,0.3,1,1
100,4,0,scale_free,0.9,2893921585,10,90,2,8,0,8,8,1,8,8.0,0.2,0.8,1.0,1.0,1.0,1.0,1.0,0.8,1,1
100,4,1,er,0.1,2203331419,90,10,2,0,88,0,0,0,0,0.0,0.022222222222222223,0.0,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0,0,0
100,4,1,ring,0.1,2203331419,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,1,small_world,0.1,2203331419,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,1,scale_free,0.1,2203331419,90,10,0,0,90,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,1,er,0.2,2203331419,80,20,2,0,78,0,0,0,0,0.0,0.025,0.0,0.025,0.025,0.025,0.025,0.025,0.0,0,0
100,4,1,ring,0.2,2203331419,80,20,0,0,80,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,1,small_world,0.2,2203331419,80,20,0,0,80,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
100,4,1,scale_free,0.2,2203331419,80,20,1,0,79,0,0,0,0,0.0,0.0125,0.0,0.0125,0.0125,0.0125,0.0125,0.0125,0.0,0,0
100,4,1,er,0.3,2203331419,70,30,3,0,67,0,0,0,0,0.0,0.04285714285714286,0.0,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.0,0,0
100,4,1,ring,0.3,2203331419,70,30,0,7,63,0,0,1,7,7.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0
100,4,1,small_world,0.3,2203331419,70,30,0,0,70,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
